,Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Front Brake,Rear Brake,Drive,Turning Radius,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Variants,NCAP Rating
141,Carnival,Kia,MPV,9,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,Disc,Disc,2WD,5.8,60.0,540.0,11.01,BS VI,235/60 R18,1,5
142,Carens,Kia,MUV,6,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,6 MT,Disc,Disc,2WD,5.1,45.0,216.0,16.2,BS VI,205/65 R16,5,3
143,Carens,Kia,MUV,6,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,7 DCT,Disc,Disc,2WD,5.1,45.0,216.0,16.5,BS VI,205/65 R16,2,3
30,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Energy,5 MT,Disc,Drum,2 WD,5.02,40.0,405.0,19.1,BS VI,195/60 R16,5,4
29,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Turbo,5 MT,Disc,Drum,2 WD,5.02,40.0,405.0,20.5,BS VI,195/60 R16,2,4
38,C3,Citroen,Hatchback,5,1199.0,3981,1733,1604,2540,3.0,Petrol,Puretech 110,6 MT,Disc,Drum,2 WD,4.98,30.0,315.0,19.4,BS VI,195/65 R15,1,Not Rated
37,C3,Citroen,Hatchback,5,1198.0,3981,1733,1604,2540,3.0,Petrol,Puretech 82,5 MT,Disc,Drum,2 WD,4.98,30.0,315.0,19.8,BS VI,195/65 R15,2,Not Rated
36,Kwid,Renault,Hatchback,5,999.0,3731,1579,1490,2422,3.0,Petrol,1.0 Sce,AMT,Disc,Drum,2 WD,5.0,28.0,279.0,22.0,BS VI,155/80 R13,2,2
35,Kwid,Renault,Hatchback,5,999.0,3731,1579,1490,2422,3.0,Petrol,1.0 Sce,5 MT,Disc,Drum,2 WD,5.0,28.0,279.0,21.7,BS VI,155/80 R13,4,2
34,Kwid,Renault,Hatchback,5,799.0,3731,1579,1490,2422,3.0,Petrol,0.8 SCe,5 MT,Disc,Drum,2 WD,5.0,28.0,279.0,20.7,BS VI,155/80 R13,2,2
33,Triber,Renault,MUV,7,999.0,3991,1739,1643,2636,3.0,Petrol,1.0L Energy,AMT,Disc,Drum,2 WD,5.4,40.0,625.0,18.2,BS VI,185/65 R15,4,4
32,Triber,Renault,MUV,7,999.0,3991,1739,1643,2636,3.0,Petrol,1.0L Energy,5 MT,Disc,Drum,2 WD,5.4,40.0,625.0,19.0,BS VI,185/65 R15,4,4
31,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Energy,AMT,Disc,Drum,2 WD,5.02,40.0,405.0,19.0,BS VI,195/60 R16,3,4
1,Virtus,Volkswagen,Sedan,5,999.0,4561,1752,1507,2651,3.0,Petrol,1.0L TSI,6-Speed AT,Disc,Drum,2WD,5.05,45.0,521.0,18.12,BS VI,205/55 R16,2,Not Tested
53,XUV 300,Mahindra,Compact SUV,5,1197.0,3995,1821,1627,2600,3.0,Petrol,Turbo Petrol,6 MT,Disc,Disc,2WD,5.3,42.0,257.0,17.0,BS VI,205/65 R16,4,5
28,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Turbo,CVT,Disc,Drum,2 WD,5.02,40.0,405.0,18.2,BS VI,195/60 R16,2,4
5,Taigun,Volkswagen,Mid Size SUV,5,1498.0,4221,1760,1612,2651,3.0,Petrol,1.5L TSI Evo with ACT,6-Speed MT,Disc,Drum,2WD,5.05,50.0,385.0,18.47,BS VI,205/55 R17,1,5
4,Taigun,Volkswagen,Mid Size SUV,5,999.0,4221,1760,1612,2651,3.0,Petrol,1.0L TSI,6-Speed AT,Disc,Drum,2WD,5.05,50.0,385.0,17.23,BS VI,205/55 R17,2,5
3,Taigun,Volkswagen,Mid Size SUV,5,999.0,4221,1760,1612,2651,3.0,Petrol,1.0L TSI,6-Speed MT,Disc,Drum,2WD,5.05,50.0,385.0,19.2,BS VI,205/55 R17,3,5
6,Taigun,Volkswagen,Mid Size SUV,5,1498.0,4221,1760,1612,2651,3.0,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,Disc,Drum,2WD,5.05,50.0,385.0,17.88,BS VI,205/55 R17,1,5
54,XUV 300,Mahindra,Compact SUV,5,1197.0,3995,1821,1627,2600,3.0,Petrol,Turbo Petrol,6 AT,Disc,Disc,2WD,5.3,42.0,257.0,17.0,BS VI,205/65 R16,4,5
26,Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,HRAO 1.0L Turbo,5 MT,Disc,Drum,2 WD,5.0,40.0,336.0,20.0,BS VI,195/60 R16,5,4
27,Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,HRAO 1.0L Turbo,CVT,Disc,Drum,2 WD,5.0,40.0,336.0,17.7,BS VI,195/60 R16,5,4
25,Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,B4D 1.0L NA,5 MT,Disc,Drum,2 WD,5.0,40.0,336.0,18.75,BS VI,195/60 R16,5,4
0,Virtus,Volkswagen,Sedan,5,999.0,4561,1752,1507,2651,3.0,Petrol,1.0L TSI,6-Speed MT,Disc,Drum,2WD,5.05,45.0,521.0,19.4,BS VI,205/55 R16,3,Not Tested
107,Kona Electric,Hyundai,SUV,5,,4180,1800,1570,2600,,Electric,Permanent magnet synchronous motor (PMSM),,Disc,Disc,2WD,5.3,,332.0,,,215/55 R17,1,5
