year_film,year_ceremony,ceremony,category,name,film,winner
1948,1949,21,FILM EDITING,Frank Sullivan,Joan of Arc,False
1948,1949,21,FILM EDITING,David Weisbart,Johnny Belinda,False
1948,1949,21,FILM EDITING,Paul Weatherwax,The Naked City,True
1948,1949,21,FILM EDITING,Christian Nyby,Red River,False
1948,1949,21,FILM EDITING,Reginald Mills,The Red Shoes,False
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),William Walton,Hamlet,False
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,Joan of Arc,False
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Johnny Belinda,False
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),Brian Easdale,The Red Shoes,True
1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,The Snake Pit,False
1948,1949,21,MUSIC (Scoring of a Musical Picture),"Johnny Green, Roger Edens",Easter Parade,True
1948,1949,21,MUSIC (Scoring of a Musical Picture),Victor Young,The Emperor Waltz,False
1948,1949,21,MUSIC (Scoring of a Musical Picture),Lennie Hayton,The Pirate,False
1948,1949,21,MUSIC (Scoring of a Musical Picture),Ray Heindorf,Romance on the High Seas,False
1948,1949,21,MUSIC (Scoring of a Musical Picture),Alfred Newman,When My Baby Smiles at Me,False
1948,1949,21,MUSIC (Song),Music and Lyrics by Jay Livingston and Ray Evans,The Paleface,True
1948,1949,21,MUSIC (Song),Music by Harold Arlen; Lyrics by Leo Robin,Casbah,False
1948,1949,21,MUSIC (Song),Music by Jule Styne; Lyrics by Sammy Cahn,Romance on the High Seas,False
1948,1949,21,MUSIC (Song),Music by Frederick Hollander; Lyrics by Leo Robin,That Lady in Ermine,False
1948,1949,21,MUSIC (Song),Music and Lyrics by Ramey Idriss and George Tibbles,Wet Blanket Policy,False
1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Hamlet,True
1948,1949,21,BEST MOTION PICTURE,Warner Bros.,Johnny Belinda,False
1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Archers,The Red Shoes,False
1948,1949,21,BEST MOTION PICTURE,20th Century-Fox,The Snake Pit,False
1948,1949,21,BEST MOTION PICTURE,Warner Bros.,The Treasure of the Sierra Madre,False
1948,1949,21,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",The Little Orphan,True
1948,1949,21,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey and the Seal,False
1948,1949,21,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Mouse Wreckers,False
1948,1949,21,SHORT SUBJECT (Cartoon),United Productions of America,Robin Hoodlum,False
1948,1949,21,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Tea for Two Hundred,False
1948,1949,21,SHORT SUBJECT (One-reel),"Herbert Moulton, Producer",Annie Was a Wonder,False
1948,1949,21,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Cinderella Horse,False
1948,1949,21,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",So You Want to Be on the Radio,False
1948,1949,21,SHORT SUBJECT (One-reel),"Edmund H. Reek, Producer",Symphony of a City,True
1948,1949,21,SHORT SUBJECT (One-reel),"Pete Smith, Producer",You Can't Win,False
1948,1949,21,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",Calgary Stampede,False
1948,1949,21,SHORT SUBJECT (Two-reel),"Herbert Morgan, Producer",Going to Blazes,False
1948,1949,21,SHORT SUBJECT (Two-reel),"Harry Grey, Producer",Samba-Mania,False
1948,1949,21,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Seal Island,True
1948,1949,21,SHORT SUBJECT (Two-reel),"Thomas Mead, Producer",Snow Capers,False
1948,1949,21,SOUND RECORDING,"Warner Bros. Studio Sound Department, Col. Nathan O. Levinson, Sound Director",Johnny Belinda,False
1948,1949,21,SOUND RECORDING,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",Moonrise,False
1948,1949,21,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",The Snake Pit,True
1948,1949,21,SPECIAL EFFECTS,"Special Visual Effects by Ralph Hammeras, Fred Sersen, Edward Snyder; Special Audible Effects by Roger Heman",Deep Waters,False
1948,1949,21,SPECIAL EFFECTS,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart",Portrait of Jennie,True
1948,1949,21,WRITING (Motion Picture Story),"Frances Flaherty, Robert Flaherty",Louisiana Story,False
1948,1949,21,WRITING (Motion Picture Story),Malvin Wald,The Naked City,False
1948,1949,21,WRITING (Motion Picture Story),Borden Chase,Red River,False
1948,1949,21,WRITING (Motion Picture Story),Emeric Pressburger,The Red Shoes,False
1948,1949,21,WRITING (Motion Picture Story),"Richard Schweizer, David Wechsler",The Search,True
1948,1949,21,WRITING (Screenplay),"Charles Brackett, Billy Wilder, Richard L. Breen",A Foreign Affair,False
1948,1949,21,WRITING (Screenplay),"Irmgard Von Cube, Allen Vincent",Johnny Belinda,False
1948,1949,21,WRITING (Screenplay),"Richard Schweizer, David Wechsler",The Search,False
1948,1949,21,WRITING (Screenplay),"Frank Partos, Millen Brand",The Snake Pit,False
1948,1949,21,WRITING (Screenplay),John Huston,The Treasure of the Sierra Madre,True
1948,1949,21,SPECIAL FOREIGN LANGUAGE FILM AWARD, Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948.,,True
1948,1949,21,SPECIAL AWARD, Ivan Jandl,,True
1948,1949,21,SPECIAL AWARD, Sid Grauman,,True
1948,1949,21,SPECIAL AWARD, Adolph Zukor,,True
1948,1949,21,SPECIAL AWARD, Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc.,,True
1948,1949,21,SPECIAL AWARD, Jean Hersholt - in recognition of his service to the Academy during four terms as president.,,True
1948,1949,21,IRVING G. THALBERG MEMORIAL AWARD,Jerry Wald,,True
1949,1950,22,ACTOR,Broderick Crawford,All the King's Men,True
1949,1950,22,ACTOR,Kirk Douglas,Champion,False
1949,1950,22,ACTOR,Gregory Peck,Twelve O'Clock High,False
1949,1950,22,ACTOR,Richard Todd,The Hasty Heart,False
1949,1950,22,ACTOR,John Wayne,Sands of Iwo Jima,False
1949,1950,22,ACTOR IN A SUPPORTING ROLE,John Ireland,All the King's Men,False
1949,1950,22,ACTOR IN A SUPPORTING ROLE,Dean Jagger,Twelve O'Clock High,True
1949,1950,22,ACTOR IN A SUPPORTING ROLE,Arthur Kennedy,Champion,False
1949,1950,22,ACTOR IN A SUPPORTING ROLE,Ralph Richardson,The Heiress,False
1949,1950,22,ACTOR IN A SUPPORTING ROLE,James Whitmore,Battleground,False
1949,1950,22,ACTRESS,Jeanne Crain,Pinky,False
1949,1950,22,ACTRESS,Olivia de Havilland,The Heiress,True
1949,1950,22,ACTRESS,Susan Hayward,My Foolish Heart,False
1949,1950,22,ACTRESS,Deborah Kerr,"Edward, My Son",False
1949,1950,22,ACTRESS,Loretta Young,Come to the Stable,False
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,Pinky,False
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Come to the Stable,False
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Come to the Stable,False
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,All the King's Men,True
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Ethel Waters,Pinky,False
1949,1950,22,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Joseph C. Wright;  Set Decoration:  Thomas Little, Paul S. Fox",Come to the Stable,False
1949,1950,22,ART DIRECTION (Black-and-White),"Art Direction:  Harry Horner, John Meehan;  Set Decoration:  Emile Kuri",The Heiress,True
1949,1950,22,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Jack Martin Smith;  Set Decoration:  Edwin B. Willis, Richard A. Pefferle",Madame Bovary,False
1949,1950,22,ART DIRECTION (Color),Art Direction:  Edward Carrere;  Set Decoration:  Lyle Reifsnider,The Adventures of Don Juan,False
1949,1950,22,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,True
1949,1950,22,ART DIRECTION (Color),"Art Direction:  Jim Morahan, William Kellner, Michael Relph",Saraband,False
1949,1950,22,CINEMATOGRAPHY (Black-and-White),Paul C. Vogel,Battleground,True
1949,1950,22,CINEMATOGRAPHY (Black-and-White),Frank Planer,Champion,False
1949,1950,22,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,Come to the Stable,False
1949,1950,22,CINEMATOGRAPHY (Black-and-White),Leo Tover,The Heiress,False
1949,1950,22,CINEMATOGRAPHY (Black-and-White),Leon Shamroy,Prince of Foxes,False
1949,1950,22,CINEMATOGRAPHY (Color),Harry Stradling,The Barkleys of Broadway,False
1949,1950,22,CINEMATOGRAPHY (Color),William Snyder,Jolson Sings Again,False
1949,1950,22,CINEMATOGRAPHY (Color),"Robert Planck, Charles Schoenbaum",Little Women,False
1949,1950,22,CINEMATOGRAPHY (Color),Charles G. Clarke,Sand,False
1949,1950,22,CINEMATOGRAPHY (Color),Winton Hoch,She Wore a Yellow Ribbon,True
1949,1950,22,COSTUME DESIGN (Black-and-White),"Edith Head, Gile Steele",The Heiress,True
1949,1950,22,COSTUME DESIGN (Black-and-White),Vittorio Nino Novarese,Prince of Foxes,False
1949,1950,22,COSTUME DESIGN (Color),"Leah Rhodes, Travilla, Marjorie Best",The Adventures of Don Juan,True
1949,1950,22,COSTUME DESIGN (Color),Kay Nelson,Mother Is a Freshman,False
1949,1950,22,DIRECTING,Robert Rossen,All the King's Men,False
1949,1950,22,DIRECTING,William A. Wellman,Battleground,False
1949,1950,22,DIRECTING,Carol Reed,The Fallen Idol,False
1949,1950,22,DIRECTING,William Wyler,The Heiress,False
1949,1950,22,DIRECTING,Joseph L. Mankiewicz,A Letter to Three Wives,True
1949,1950,22,DOCUMENTARY (Feature),Crown Film Unit,Daybreak in Udi,True
1949,1950,22,DOCUMENTARY (Feature),"Paul F. Heard, Producer",Kenji Comes Home,False
1949,1950,22,DOCUMENTARY (Short Subject),"Richard de Rochemont, Producer",A Chance to Live,True
1949,1950,22,DOCUMENTARY (Short Subject),French Cinema General Cooperative,1848,False
1949,1950,22,DOCUMENTARY (Short Subject),"St. Francis-Xavier University, Antigonish, Nova Scotia",The Rising Tide,False
1949,1950,22,DOCUMENTARY (Short Subject),"Edward Selzer, Producer",So Much for So Little,True
1949,1950,22,FILM EDITING,"Robert Parrish, Al Clark",All the King's Men,False
1949,1950,22,FILM EDITING,John Dunning,Battleground,False
1949,1950,22,FILM EDITING,Harry Gerstad,Champion,True
1949,1950,22,FILM EDITING,Richard L. Van Enger,Sands of Iwo Jima,False
1949,1950,22,FILM EDITING,Frederic Knudtson,The Window,False
1949,1950,22,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Beyond the Forest,False
1949,1950,22,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,Champion,False
1949,1950,22,MUSIC (Music Score of a Dramatic or Comedy Picture),Aaron Copland,The Heiress,True
1949,1950,22,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, George Duning",Jolson Sings Again,False
1949,1950,22,MUSIC (Scoring of a Musical Picture),Ray Heindorf,Look for the Silver Lining,False
1949,1950,22,MUSIC (Scoring of a Musical Picture),"Roger Edens, Lennie Hayton",On the Town,True
1949,1950,22,MUSIC (Song),Music and Lyrics by Frank Loesser,Neptune's Daughter,True
1949,1950,22,MUSIC (Song),Music by Jule Styne; Lyrics by Sammy Cahn,It's a Great Feeling,False
1949,1950,22,MUSIC (Song),Music by Eliot Daniel; Lyrics by Larry Morey,So Dear to My Heart,False
1949,1950,22,MUSIC (Song),Music by Victor Young; Lyrics by Ned Washington,My Foolish Heart,False
1949,1950,22,MUSIC (Song),Music by Alfred Newman; Lyrics by Mack Gordon,Come to the Stable,False
1949,1950,22,BEST MOTION PICTURE,Robert Rossen Productions,All the King's Men,True
1949,1950,22,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,Battleground,False
1949,1950,22,BEST MOTION PICTURE,Paramount,The Heiress,False
1949,1950,22,BEST MOTION PICTURE,20th Century-Fox,A Letter to Three Wives,False
1949,1950,22,BEST MOTION PICTURE,20th Century-Fox,Twelve O'Clock High,False
1949,1950,22,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Canary Row,False
1949,1950,22,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",For Scent-Imental Reasons,True
1949,1950,22,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",Hatch Up Your Troubles,False
1949,1950,22,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",The Magic Fluke,False
1949,1950,22,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Toy Tinkers,False
1949,1950,22,SHORT SUBJECT (One-reel),"Jack Eaton, Producer",Aquatic House-Party,True
1949,1950,22,SHORT SUBJECT (One-reel),"Justin Herman, Producer",Roller Derby Girl,False
1949,1950,22,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",So You Think You're Not Guilty,False
1949,1950,22,SHORT SUBJECT (One-reel),"Walton C. Ament, Producer",Spills and Chills,False
1949,1950,22,SHORT SUBJECT (One-reel),"Pete Smith, Producer",Water Trix,False
1949,1950,22,SHORT SUBJECT (Two-reel),"William Lasky, Producer",The Boy and the Eagle,False
1949,1950,22,SHORT SUBJECT (Two-reel),"Irving Allen, Producer",Chase of Death,False
1949,1950,22,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",The Grass Is Always Greener,False
1949,1950,22,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",Snow Carnival,False
1949,1950,22,SHORT SUBJECT (Two-reel),"Gaston Diehl and Robert Haessens, Producers",Van Gogh,True
1949,1950,22,SOUND RECORDING,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director","Once More, My Darling",False
1949,1950,22,SOUND RECORDING,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",Sands of Iwo Jima,False
1949,1950,22,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",Twelve O'Clock High,True
1949,1950,22,SPECIAL EFFECTS,ARKO Productions,Mighty Joe Young,True
1949,1950,22,SPECIAL EFFECTS,Walter Wanger Pictures,Tulsa,False
1949,1950,22,WRITING (Motion Picture Story),Clare Boothe Luce,Come to the Stable,False
1949,1950,22,WRITING (Motion Picture Story),"Shirley W. Smith, Valentine Davies",It Happens Every Spring,False
1949,1950,22,WRITING (Motion Picture Story),Harry Brown,Sands of Iwo Jima,False
1949,1950,22,WRITING (Motion Picture Story),Douglas Morrow,The Stratton Story,True
1949,1950,22,WRITING (Motion Picture Story),Virginia Kellogg,White Heat,False
1949,1950,22,WRITING (Screenplay),Robert Rossen,All the King's Men,False
1949,1950,22,WRITING (Screenplay),Cesare Zavattini,The Bicycle Thief,False
1949,1950,22,WRITING (Screenplay),Carl Foreman,Champion,False
1949,1950,22,WRITING (Screenplay),Graham Greene,The Fallen Idol,False
1949,1950,22,WRITING (Screenplay),Joseph L. Mankiewicz,A Letter to Three Wives,True
1949,1950,22,WRITING (Story and Screenplay),Robert Pirosh,Battleground,True
1949,1950,22,WRITING (Story and Screenplay),Sidney Buchman,Jolson Sings Again,False
1949,1950,22,WRITING (Story and Screenplay),"Alfred Hayes, Federico Fellini, Sergio Amidei, Marcello Pagliero, Roberto Rossellini",Paisan,False
1949,1950,22,WRITING (Story and Screenplay),T. E. B. Clarke,Passport to Pimlico,False
1949,1950,22,WRITING (Story and Screenplay),"Helen Levitt, Janice Loeb, Sidney Meyers",The Quiet One,False
1949,1950,22,SPECIAL FOREIGN LANGUAGE FILM AWARD, The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949.,,True
1949,1950,22,SPECIAL AWARD, Bobby Driscoll,,True
1949,1950,22,SPECIAL AWARD, Fred Astaire for his unique artistry and his contributions to the technique of musical pictures.,,True
1949,1950,22,SPECIAL AWARD, Cecil B. DeMille,,True
1949,1950,22,SPECIAL AWARD, Jean Hersholt,,True
1950,1951,23,ACTOR,Louis Calhern,The Magnificent Yankee,False
1950,1951,23,ACTOR,José Ferrer,Cyrano de Bergerac,True
1950,1951,23,ACTOR,William Holden,Sunset Blvd.,False
1950,1951,23,ACTOR,James Stewart,Harvey,False
1950,1951,23,ACTOR,Spencer Tracy,Father of the Bride,False
1950,1951,23,ACTOR IN A SUPPORTING ROLE,Jeff Chandler,Broken Arrow,False
1950,1951,23,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Mister 880,False
1950,1951,23,ACTOR IN A SUPPORTING ROLE,Sam Jaffe,The Asphalt Jungle,False
1950,1951,23,ACTOR IN A SUPPORTING ROLE,George Sanders,All about Eve,True
1950,1951,23,ACTOR IN A SUPPORTING ROLE,Erich von Stroheim,Sunset Blvd.,False
1950,1951,23,ACTRESS,Anne Baxter,All about Eve,False
1950,1951,23,ACTRESS,Bette Davis,All about Eve,False
1950,1951,23,ACTRESS,Judy Holliday,Born Yesterday,True
1950,1951,23,ACTRESS,Eleanor Parker,Caged,False
1950,1951,23,ACTRESS,Gloria Swanson,Sunset Blvd.,False
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Hope Emerson,Caged,False
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,All about Eve,False
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,True
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Nancy Olson,Sunset Blvd.,False
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,All about Eve,False
1950,1951,23,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Thomas Little, Walter M. Scott",All about Eve,False
1950,1951,23,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Hans Peters;  Set Decoration:  Edwin B. Willis, Hugh Hunt",The Red Danube,False
1950,1951,23,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer",Sunset Blvd.,True
1950,1951,23,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Richard A. Pefferle",Annie Get Your Gun,False
1950,1951,23,ART DIRECTION (Color),Art Direction:  Ernst Fegte;  Set Decoration:  George Sawley,Destination Moon,False
1950,1951,23,ART DIRECTION (Color),"Art Direction:  Hans Dreier, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer",Samson and Delilah,True
1950,1951,23,CINEMATOGRAPHY (Black-and-White),Milton Krasner,All about Eve,False
1950,1951,23,CINEMATOGRAPHY (Black-and-White),Harold Rosson,The Asphalt Jungle,False
1950,1951,23,CINEMATOGRAPHY (Black-and-White),Victor Milner,The Furies,False
1950,1951,23,CINEMATOGRAPHY (Black-and-White),John F. Seitz,Sunset Blvd.,False
1950,1951,23,CINEMATOGRAPHY (Black-and-White),Robert Krasker,The Third Man,True
1950,1951,23,CINEMATOGRAPHY (Color),Charles Rosher,Annie Get Your Gun,False
1950,1951,23,CINEMATOGRAPHY (Color),Ernest Palmer,Broken Arrow,False
1950,1951,23,CINEMATOGRAPHY (Color),Ernest Haller,The Flame and the Arrow,False
1950,1951,23,CINEMATOGRAPHY (Color),Robert Surtees,King Solomon's Mines,True
1950,1951,23,CINEMATOGRAPHY (Color),George Barnes,Samson and Delilah,False
1950,1951,23,COSTUME DESIGN (Black-and-White),"Edith Head, Charles LeMaire",All about Eve,True
1950,1951,23,COSTUME DESIGN (Black-and-White),Jean Louis,Born Yesterday,False
1950,1951,23,COSTUME DESIGN (Black-and-White),Walter Plunkett,The Magnificent Yankee,False
1950,1951,23,COSTUME DESIGN (Color),Michael Whittaker,The Black Rose,False
1950,1951,23,COSTUME DESIGN (Color),"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling",Samson and Delilah,True
1950,1951,23,COSTUME DESIGN (Color),"Walter Plunkett, Valles",That Forsyte Woman,False
1950,1951,23,DIRECTING,Joseph L. Mankiewicz,All about Eve,True
1950,1951,23,DIRECTING,John Huston,The Asphalt Jungle,False
1950,1951,23,DIRECTING,George Cukor,Born Yesterday,False
1950,1951,23,DIRECTING,Billy Wilder,Sunset Blvd.,False
1950,1951,23,DIRECTING,Carol Reed,The Third Man,False
1950,1951,23,DOCUMENTARY (Feature),"Robert Snyder, Producer",The Titan: Story of Michelangelo,True
1950,1951,23,DOCUMENTARY (Feature),"Jack Arnold and Lee Goodman, Producers",With These Hands,False
1950,1951,23,DOCUMENTARY (Short Subject),"Guy Glover, Producer",The Fight: Science against Cancer,False
1950,1951,23,DOCUMENTARY (Short Subject),"Film Documents, Inc.",The Stairs,False
1950,1951,23,DOCUMENTARY (Short Subject),"Edmund Reek, Producer",Why Korea?,True
1950,1951,23,FILM EDITING,Barbara McLean,All about Eve,False
1950,1951,23,FILM EDITING,James E. Newcom,Annie Get Your Gun,False
1950,1951,23,FILM EDITING,"Ralph E. Winters, Conrad A. Nervig",King Solomon's Mines,True
1950,1951,23,FILM EDITING,"Arthur Schmidt, Doane Harrison",Sunset Blvd.,False
1950,1951,23,FILM EDITING,Oswald Hafenrichter,The Third Man,False
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,All about Eve,False
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,The Flame and the Arrow,False
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),George Duning,No Sad Songs for Me,False
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Victor Young,Samson and Delilah,False
1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,Sunset Blvd.,True
1950,1951,23,MUSIC (Scoring of a Musical Picture),"Adolph Deutsch, Roger Edens",Annie Get Your Gun,True
1950,1951,23,MUSIC (Scoring of a Musical Picture),"Oliver Wallace, Paul J. Smith",Cinderella,False
1950,1951,23,MUSIC (Scoring of a Musical Picture),Lionel Newman,I'll Get By,False
1950,1951,23,MUSIC (Scoring of a Musical Picture),Andre Previn,Three Little Words,False
1950,1951,23,MUSIC (Scoring of a Musical Picture),Ray Heindorf,The West Point Story,False
1950,1951,23,MUSIC (Song),Music by Nicholas Brodszky; Lyrics by Sammy Cahn,The Toast of New Orleans,False
1950,1951,23,MUSIC (Song),"Music and Lyrics by Mack David, Al Hoffman and Jerry Livingston",Cinderella,False
1950,1951,23,MUSIC (Song),Music and Lyrics by Ray Evans and Jay Livingston,"Captain Carey, U.S.A.",True
1950,1951,23,MUSIC (Song),"Music and Lyrics by Fred Glickman, Hy Heath and Johnny Lange",Singing Guns,False
1950,1951,23,MUSIC (Song),Music by Josef Myrow; Lyrics by Mack Gordon,Wabash Avenue,False
1950,1951,23,BEST MOTION PICTURE,20th Century-Fox,All about Eve,True
1950,1951,23,BEST MOTION PICTURE,Columbia,Born Yesterday,False
1950,1951,23,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,Father of the Bride,False
1950,1951,23,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,King Solomon's Mines,False
1950,1951,23,BEST MOTION PICTURE,Paramount,Sunset Blvd.,False
1950,1951,23,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Gerald McBoing-Boing,True
1950,1951,23,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",Jerry's Cousin,False
1950,1951,23,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Trouble Indemnity,False
1950,1951,23,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",Blaze Busters,False
1950,1951,23,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Grandad of Races,True
1950,1951,23,SHORT SUBJECT (One-reel),"Pete Smith, Producer",Wrong Way Butch,False
1950,1951,23,SHORT SUBJECT (Two-reel),"Falcon Films, Inc.",Grandma Moses,False
1950,1951,23,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",In Beaver Valley,True
1950,1951,23,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",My Country 'Tis of Thee,False
1950,1951,23,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",All about Eve,True
1950,1951,23,SOUND RECORDING,"Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director",Cinderella,False
1950,1951,23,SOUND RECORDING,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",Louisa,False
1950,1951,23,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",Our Very Own,False
1950,1951,23,SOUND RECORDING,"Pinewood Studio Sound Department, Cyril Crowhurst, Sound Director",Trio,False
1950,1951,23,SPECIAL EFFECTS,George Pal Productions,Destination Moon,True
1950,1951,23,SPECIAL EFFECTS,Cecil B. DeMille Productions,Samson and Delilah,False
1950,1951,23,WRITING (Motion Picture Story),"Giuseppe De Santis, Carlo Lizzani",Bitter Rice,False
1950,1951,23,WRITING (Motion Picture Story),"William Bowers, Andre de Toth",The Gunfighter,False
1950,1951,23,WRITING (Motion Picture Story),Leonard Spigelgass,Mystery Street,False
1950,1951,23,WRITING (Motion Picture Story),"Edna Anhalt, Edward Anhalt",Panic in the Streets,True
1950,1951,23,WRITING (Motion Picture Story),Sy Gomberg,When Willie Comes Marching Home,False
1950,1951,23,WRITING (Screenplay),Joseph L. Mankiewicz,All about Eve,True
1950,1951,23,WRITING (Screenplay),"Ben Maddow, John Huston",The Asphalt Jungle,False
1950,1951,23,WRITING (Screenplay),Albert Mannheimer,Born Yesterday,False
1950,1951,23,WRITING (Screenplay),Albert Maltz,Broken Arrow,False
1950,1951,23,WRITING (Screenplay),"Frances Goodrich, Albert Hackett",Father of the Bride,False
1950,1951,23,WRITING (Story and Screenplay),"Ruth Gordon, Garson Kanin",Adam's Rib,False
1950,1951,23,WRITING (Story and Screenplay),"Virginia Kellogg, Bernard C. Schoenfeld",Caged,False
1950,1951,23,WRITING (Story and Screenplay),Carl Foreman,The Men,False
1950,1951,23,WRITING (Story and Screenplay),"Joseph L. Mankiewicz, Lesser Samuels",No Way Out,False
1950,1951,23,WRITING (Story and Screenplay),"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.,True
1950,1951,23,HONORARY FOREIGN LANGUAGE FILM AWARD, The Walls of Malapaga - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950.,,True
1950,1951,23,HONORARY AWARD, George Murphy for his services in interpreting the film industry to the country at large.,,True
1950,1951,23,HONORARY AWARD, Louis B. Mayer for distinguished service to the motion picture industry.,,True
1950,1951,23,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,,True
1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,True
1951,1952,24,ACTOR,Marlon Brando,A Streetcar Named Desire,False
1951,1952,24,ACTOR,Montgomery Clift,A Place in the Sun,False
1951,1952,24,ACTOR,Arthur Kennedy,Bright Victory,False
1951,1952,24,ACTOR,Fredric March,Death of a Salesman,False
1951,1952,24,ACTOR IN A SUPPORTING ROLE,Leo Genn,Quo Vadis,False
1951,1952,24,ACTOR IN A SUPPORTING ROLE,Kevin McCarthy,Death of a Salesman,False
1951,1952,24,ACTOR IN A SUPPORTING ROLE,Karl Malden,A Streetcar Named Desire,True
