College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Chitkara University ,Punjab,Management,"5,66,000","3,50,000",8.5,8.4,7.7,8.5,8.9,8.7,8.7
Indian Institute of Management ,Punjab,Management,"6,00,000","9,50,000",9,8.8,9.1,9.1,8.9,9.1,8.7
"RIMT University, Gobindgarh ",Punjab,Management,"1,50,000","57,000",7.6,7.9,7.3,7.8,8,6.7,7.8
"Guru Kashi University, Bathinda ",Punjab,Management,"62,580","24,580",7.5,7.4,7.2,8,7.2,7.2,7.8
"Rayat Bahra University, Mohali ",Punjab,Management,"50,000","1,10,000",7.7,7.8,7.4,8,7.7,7.4,7.6
"DAV University, Jalandhar ",Punjab,Management,"87,500","1,45,000",7.9,8.4,7,8.4,7,8,8.5
"GNA University, Phagwara ",Punjab,Management,"54,000","1,67,400",7.7,8,7.6,7.9,7.8,7.2,7.7
Indian School of Business ,Punjab,Management,"10,20,000","47,60,000",8.9,9,8.9,9,8.9,8.6,8.7
"Adesh University, Bathinda ",Punjab,Management,"90,000","1,37,500",8.6,8.8,8.8,8.5,9,8.3,8.3
Sant Baba Bhag Singh University ,Punjab,Management,"82,500","44,000",8.5,9,8.2,8.6,8,8.5,8.6
Sri Guru Granth Sahib World University ,Punjab,Management,"1,04,000","42,000",8.8,8.6,9,9,9.1,8.4,8.7
"Sri Aurobindo College of Commerce and Management, ",Punjab,Management,"77,000",--,7.1,8.9,6.8,8.8,6.9,3.7,7.3
LM Thapar School of Management ,Punjab,Management,"4,15,860","4,80,000",7.9,7.7,8.1,8,7.9,7.7,7.8
Global Institute of Management ,Punjab,Management,"46,850","80,750",--,--,--,--,--,--,--
Malout Institute of Management and Information Technology ,Punjab,Management,"44,950","90,549",7.7,8,7.8,7.4,8.3,6.4,8
Punjab College of Technical Education ,Punjab,Management,"51,250","96,650",8,7.7,8.1,7.9,8.3,7.1,8.8
Global Institute of Management and Emerging Technologies ,Punjab,Management,--,--,7.4,7.6,7,7.7,8.4,6.3,7.3
"UEI Global, Ludhiana ",Punjab,Management,"1,10,000","35,000",8.4,8.2,8.2,8.3,8.3,9,8.5
Rayat Institute of Management ,Punjab,Management,"46,850","80,750",9.3,--,--,--,--,--,--
Synetic Business School ,Punjab,Management,"46,250","90,000",7.4,6.3,--,--,7.7,8.3,--
Cordia Institutes of Hospitality and Tourism Management ,Punjab,Management,"62,850",--,--,--,--,--,--,--,--
Cordia Business School ,Punjab,Management,"35,000","85,000",--,--,--,--,--,--,--
Indian Institute of Management ,West bengal,Management,"27,00,000","2,68,000",8.9,8.9,8.8,9,8.8,9.1,8.5
Vinod Gupta School of Management ,West bengal,Management,"6,00,000","10,000",8.9,9,8.7,8.8,9.1,8.7,9.1
"International Management Institute- [IMI], Kolkata ",West bengal,Management,"6,27,950","1,02,000",8.6,8.8,8.4,8.7,8.9,8.6,8.3
Indian Institute of Social Welfare and Business ,West bengal,Management,"2,55,000","35,000",7.7,8.6,6.5,8.3,6.9,8,8
Calcutta Business School ,West bengal,Management,"3,50,000",--,8.5,8.4,8.6,8.4,8.4,8.8,8.5
Eastern Institute for Integrated Learning In Management ,West bengal,Management,"2,70,000","6,50,000",7.5,7.6,6.6,7.5,7.4,8.1,7.6
ICFAI Business School ,West bengal,Management,"4,00,500",--,8.8,9.2,8.2,9.2,8.5,8.9,8.9
Institute of Engineering and Management ,West bengal,Management,"3,20,000","1,15,000",7.5,8.2,6.5,8,6.7,8.4,7.2
Bhartiya Vidya Bhavan Institute of Management Science ,West bengal,Management,"1,06,000","5,51,000",8,8.5,6.8,8.8,8.2,7.4,8.3
Institute of Management Study ,West bengal,Management,"55,000","2,60,000",7.3,7.8,6.4,7.7,7.6,7.3,6.8
"Amity University, Kolkata ",West bengal,Management,"80,000","1,90,000",8.2,8.1,7.7,8.4,8.8,7.4,8.5
"Techno India University, Kolkata ",West bengal,Management,--,--,8,8.2,7.4,8.2,8.1,7.8,8.4
"Adamas University, Kolkata ",West bengal,Management,"82,000","2,51,400",8.2,8.3,7.5,8.5,9,7.8,7.8
"Brainware University, Kolkata ",West bengal,Management,"3,37,200","1,00,000",7.9,8.3,7.6,7.9,8.2,7.8,7.3
Sister Nivedita University ,West bengal,Management,"1,19,000","3,51,000",8.2,8.2,7.6,8.9,7.9,7.8,8.7
St. Xavier's University ,West bengal,Management,"5,55,000","1,32,000",8.4,8.7,8,8.3,8.9,7.8,8.4
Management Development Institute ,West bengal,Management,"4,41,000",--,8.4,8.3,8.7,8.4,8.2,7.9,8.6
"Praxis Business School, Kolkata ",West bengal,Management,"3,89,000",--,8.6,9.3,8,9,8.3,8.7,8
The Neotia University ,West bengal,Management,"98,000","1,06,000",8.2,8.7,7.5,8.5,8.2,7.8,8.6
"Goenka College of Commerce and Business Administration, ",West bengal,Management,--,--,7.8,8.9,6.1,8.6,7.5,7.5,8.1
Indian Institute of Foreign Trade ,West bengal,Management,"4,00,000","75,000",9,9.2,8.7,9.2,8.9,9.2,8.9
Globsyn Business School ,West bengal,Management,"7,95,000","14,000",8.1,8.4,7.7,8.1,8.1,8,8
Seacom Skills University ,West bengal,Management,"1,10,000","60,000",7.5,8.4,6.4,8.9,7.4,6.7,7.3
Army Institute of Management ,West bengal,Management,"4,26,144",--,8.9,8.7,9,8.8,8.5,9,9.1
Bengal Institute of Business Studies ,West bengal,Management,"3,66,400",--,7.3,7.3,6.6,7.9,7.1,7.7,7.1
Indian Maritime University ,West bengal,Management,"2,00,000",--,8.1,8.4,7.8,8.4,7.6,8.2,8.3
The Heritage Academy ,West bengal,Management,"1,26,850",--,8.3,8.8,7.9,8.6,8.8,6.7,8.7
National Institute of Management ,West bengal,Management,"1,14,000","82,000",8.5,8.4,7.4,8.8,8.7,8.7,8.9
"Inspiria Knowledge Campus, Siliguri ",West bengal,Management,"1,25,000",--,8.1,8.1,7.4,8.4,8.6,8,8.2
International School of Hospitality Management ,West bengal,Management,"2,42,000",--,8.8,8.6,8.6,9,8.7,8.9,9.2
KIIT School of Management ,Orissa,Management,"2,80,000","4,60,000",8.7,8.9,8.5,8.7,9.4,8.2,8.2
Xavier University ,Orissa,Management,"8,60,000","1,67,000",8.2,8.7,7.8,8.4,9.2,6.8,8.4
International Management Institute ,Orissa,Management,"2,55,000","6,00,000",9.2,9.2,9,9.3,9.4,9,9.1
Institute of Management and Information Science ,Orissa,Management,"2,58,000",--,8.2,8.7,8.3,8.5,7.8,8,7.8
Gandhi Institute of Management Studies ,Orissa,Management,"1,46,000",--,6.4,7,5.5,6.6,7.9,5,6.5
GITA Autonomous College ,Orissa,Management,"75,000",--,8.7,9,8.3,8.9,8.8,8.3,8.6
"Astha School of Management, Bhubaneswar ",Orissa,Management,"1,60,000",--,9,9.1,8.6,9.3,9.4,8.6,9.1
Xavier Institute of Management ,Orissa,Management,"10,80,000","15,50,000",8.2,8.3,7.9,8.5,8.3,7.9,8.4
Kalinga Institute of Industrial Technology ,Orissa,Management,"3,59,000","2,25,000",8.6,8.4,8.1,8.2,9.2,8.6,9
Centurion University of Technology and Management ,Orissa,Management,"1,00,000","50,000",8.1,8.3,7.6,8.5,8.4,7.4,8.5
KIIT School of Rural Management ,Orissa,Management,"7,59,000",--,9.1,9.5,8.9,9.2,9.2,9,8.6
Sri Sri University ,Orissa,Management,"3,51,890","1,21,890",7.1,7.3,6.7,7,7.3,6.3,8.2
"Khallikote University -[KUB], Berhampur ",Orissa,Management,"24,700",--,8.6,8.6,8.1,8.7,9,8.2,8.7
Indian Institute of Management ,Orissa,Management,"13,03,000","9,00,000",8.8,8.8,8.7,9,8.8,9.1,8.5
Birla Global University ,Orissa,Management,"1,60,000","1,20,000",8.3,8.8,8.1,7.8,8.8,8.1,8.4
Siksha 'O' Anusandhan University ,Orissa,Management,"3,00,000","1,00,000",8.3,8.6,7.6,8.3,8.7,8,8.5
"Srusti Academy of Management, Bhubaneswar ",Orissa,Management,"48,450","1,36,950",8.1,8.3,7.7,8.6,8.2,7.3,8.3
Rourkela Institute of Management Studies ,Orissa,Management,"47,500","1,12,000",9,9.2,8.8,9.7,9.5,8.3,8.6
Indian Institute of Tourism and Travel Management ,Orissa,Management,"1,08,850","1,88,600",8.7,9.8,7.3,9.7,9.3,8.5,7.3
Amity Global Business School ,Orissa,Management,"1,18,000","2,30,000",8.7,9.3,8.3,9,8.6,8.4,8.8
NIIS Institute of Information Science & Management ,Orissa,Management,"1,55,000","1,15,000",9,9.2,8.7,9.2,9.2,9,8.7
"NIIS Institute of Business Administration, Bhubaneswar ",Orissa,Management,"1,10,000",--,7.4,7.8,7.5,7.8,7,7.8,6.3
United School of Business Management ,Orissa,Management,"1,14,000",--,8.6,9,8,9,8.3,8.3,9
Madhusudan Institute of Cooperative Management ,Orissa,Management,"51,000",--,5.5,7,6.5,8,4,3.5,4
DAV School of Business Management ,Orissa,Management,"80,000",--,7.8,8.4,7.1,8.6,7.9,6.1,8.5
Attitude Business School ,Orissa,Management,"3,00,000",--,--,--,--,--,--,--,--
Institute of Professional Studies and Research ,Orissa,Management,"65,000","95,000",7.4,7.9,7.6,8.5,7.1,6,7.5
College of IT & Management Education ,Orissa,Management,"1,03,500",--,8.1,9.6,5.2,9.6,8.6,7.2,8.2
"Department of Management Studies, Indian Institute of ",Uttarakhand,Management,"4,09,680","14,680",8.9,8.9,8.7,8.9,9.3,9.1,8.4
Indian Institute of Management ,Uttarakhand,Management,"7,82,500","9,50,000",8.7,8.6,8.7,8.9,8.9,8.5,8.3
University of Petroleum and Energy Studies ,Uttarakhand,Management,"8,41,500","13,34,000",8.1,8.1,7.8,7.9,8.6,7.7,8.2
IMS Unison University ,Uttarakhand,Management,"2,72,726","1,79,200",8.2,8.2,8,8.5,8.5,7.5,8.2
Doon Business School ,Uttarakhand,Management,"2,53,000","1,81,500",7.6,8,7,8.1,7.4,7.4,7.7
Roorkee Institute of Technology ,Uttarakhand,Management,"1,22,000",--,8.5,8.5,8.5,8.6,8.7,8.4,8.5
ICFAI Business School ,Uttarakhand,Management,"2,68,500",--,8.9,9,8.8,9.1,8.6,8.7,9
"Uttaranchal Institute of Management, Dehradun ",Uttarakhand,Management,"82,000","1,48,000",6.8,6.8,5.5,6.8,7.8,5.5,8.3
"Doon University, Dehradun ",Uttarakhand,Management,"81,750","47,750",7.2,7.3,7,7.3,7.9,6.3,7.6
"Uttaranchal University, Dehradun ",Uttarakhand,Management,"1,79,200","1,55,000",7.5,7.8,6.8,7.7,8.6,6.5,7.5
Graphic Era University ,Uttarakhand,Management,"2,71,000","1,36,300",8.3,8.2,7.9,8.4,8.6,8.1,8.4
Graphic Era Hill University ,Uttarakhand,Management,"2,67,000","1,42,800",8.1,7.9,7.8,8.1,8.4,7.7,8.4
"ICFAI University, Dehradun ",Uttarakhand,Management,"2,61,000","2,40,000",7.8,8.2,7.5,8.2,7.4,7.3,7.9
"MotherHood University, Roorkee ",Uttarakhand,Management,"1,05,000",--,8,8.3,7.9,7.6,8,8,8.3
Himgiri Zee University ,Uttarakhand,Management,"1,20,000","70,000",7.9,8.5,5.5,9,8,7.7,8.8
Swami Rama Himalayan University ,Uttarakhand,Management,"1,91,000","1,18,850",7,7.1,6.6,6.9,7.4,7.1,6.7
Shri Guru Ram Rai University ,Uttarakhand,Management,"61,300","94,400",7.6,7.8,7.1,7.9,7.9,7.3,7.7
UPES Centre for Continuing Education ,Uttarakhand,Management,"72,500","36,250",7.9,8.7,8,8,8,7.3,7.3
Academy of Management Studies ,Uttarakhand,Management,"1,00,650","54,000",--,--,--,--,--,--,--
Institute of Clinical Research ,Uttarakhand,Management,"2,00,000",--,--,--,--,--,--,--,--
College of Agribusiness Management ,Uttarakhand,Management,"5,39,328",--,7,7,6,7,8,8,6
"Nimbus Academy of Management- [NAM], Dehradun ",Uttarakhand,Management,"50,000","1,00,000",8.4,8.4,7.8,8.8,8.4,8.2,8.7
Quantum School of Business ,Uttarakhand,Management,"67,000","1,47,000",7.2,7.2,7.1,7.1,6.9,7.1,7.5
Dev Bhoomi Institute of Management Studies ,Uttarakhand,Management,"79,200",--,9,9,--,--,9,9,--
Greenway Institute of Management Studies ,Uttarakhand,Management,--,--,6.1,7,5.5,6.5,6.5,4,7
"BRD College of Management and Sciences, Dehradun ",Uttarakhand,Management,"50,000",--,--,--,--,--,--,--,--
Selaqui Institute of Management ,Uttarakhand,Management,"1,43,000",--,--,--,--,--,--,--,--
Himalayan School of Management Studies ,Uttarakhand,Management,"1,49,400","1,86,000",8.7,--,--,--,--,--,--
"Sai Business and Media School, Dehradun ",Uttarakhand,Management,"72,600","92,600",--,--,--,--,--,--,--
"Loyola College, Chennai ",Tamil nadu,Science,"16,790","85,250",8.6,8.7,8.2,8.3,8.9,8.4,8.8
Madras Christian College ,Tamil nadu,Science,"24,500",--,8.6,8.5,7.9,8.6,8.7,8.4,9.2
"Presidency College, Chennai ",Tamil nadu,Science,"1,270",930,8.2,8.8,7.3,8.9,8.1,7.6,8.6
"Stella Maris College, Chennai ",Tamil nadu,Science,"22,895","15,000",8.2,8.8,7.5,8.6,8.4,7.6,8.5
"PSG College of Arts and Science, Coimbatore ",Tamil nadu,Science,"7,000","10,000",8.3,8.5,7.9,8.2,8.5,8.2,8.7
"PSGR Krishnammal College for Women, Coimbatore ",Tamil nadu,Science,"1,761","2,258",8.8,9.1,8.3,8.6,8.9,8.7,9
"Ethiraj College for Women, Chennai ",Tamil nadu,Science,"10,056",--,8.1,8.5,7.3,8.2,7.9,7.9,8.6
"Scott Christian College, Nagercoil ",Tamil nadu,Science,--,--,8.4,8.3,8,8.7,8.8,7.9,8.4
Women's Christian College ,Tamil nadu,Science,"40,914","65,264",8.7,9,7.9,8.8,9.1,8.5,8.9
"Government Arts College (Autonomous), Coimbatore ",Tamil nadu,Science,"1,375",935,7.7,8.8,6.7,8.5,7.4,6.3,8.6
"Thiagarajar College, Madurai ",Tamil nadu,Science,"40,170","26,555",7.5,7.9,7.1,8,7.1,7.2,7.9
"St. Joseph's College, Tiruchirappalli ",Tamil nadu,Science,"8,930",--,8.6,9.1,7.9,8.7,9.1,8,8.8
"Queen Mary's College, Chennai ",Tamil nadu,Science,622,"1,532",7.6,7.9,6.9,8.3,6.8,7.6,8.2
Bishop Heber College ,Tamil nadu,Science,"33,600","91,140",8.3,8.5,7.8,8.2,8.9,8.1,8.4
Ayya Nadar Janaki Ammal College ,Tamil nadu,Science,"20,525","26,550",8,8.5,7.7,8.4,8.5,6.8,7.8
"Kongunadu Arts and Science College, Coimbatore ",Tamil nadu,Science,"40,000","38,000",7.3,8,6.7,8.3,7.3,6.3,7
"M.O.P. Vaishnav College for Women, Chennai ",Tamil nadu,Science,--,--,8.5,8.7,8.1,8.7,8.4,8.3,9
"CMS College of Science and Commerce, Coimbatore ",Tamil nadu,Science,"42,000",--,8.2,8.3,7.4,8.1,8.5,8,8.7
"Sri Krishna Arts and Science College, Coimbatore ",Tamil nadu,Science,"16,000",--,8.5,8.6,7.8,8.6,8.9,8.7,8.5
Jamal Mohamed College ,Tamil nadu,Science,"26,000","34,000",8.5,8.8,8.1,8.5,8.6,8.4,8.6
Sri Ramakrishna Mission Vidyalaya College of Arts ,Tamil nadu,Science,"7,300","13,270",8.6,8.8,7.7,8.9,9,8.1,8.9
"Sri Ramakrishna College of Arts and Science, ",Tamil nadu,Science,"52,000","52,000",8.2,8.2,7.3,8.7,7.7,8.2,8.8
Virudhunagar Hindu Nadar's Senthikumara Nadar College ,Tamil nadu,Science,879,"1,464",8.5,9,8.3,8.4,8.8,7.9,8.6
Madras School of Social Work ,Tamil nadu,Science,"51,200","75,000",8.1,9,8.2,8.2,6.7,8,8.2
Dr. N.G.P. Arts and Science College ,Tamil nadu,Science,"1,40,000",--,7.6,7.8,7.1,7.5,8.4,7.7,7
"Guru Nanak College, Chennai ",Tamil nadu,Science,"9,500","11,450",7.9,8.2,7.1,8,8.4,7.3,8.5
"Vellalar College for Women, Erode ",Tamil nadu,Science,"2,646","2,136",8.1,8.5,7.6,8.3,8.5,7.7,8.1
"St. Xavier's College (Autonomous), Palayamkottai ",Tamil nadu,Science,"6,465","5,356",8.4,8.3,8,8.7,8.6,7.7,8.8
"V. O. Chidambaram College, Thoothukkudi ",Tamil nadu,Science,"5,000","9,850",7.3,8.3,7.3,7,7.6,5.6,7.7
"Lady Doak College, Madurai ",Tamil nadu,Science,"1,81,000","43,300",8.4,9.1,7.2,8.7,8.6,8.4,8.2
"Fergusson College, Pune ",Maharashtra,Science,"11,135","50,780",8.1,8.5,7.3,8.2,8.5,7.1,8.7
"St. Xavier's College, Mumbai ",Maharashtra,Science,"7,187","15,674",8.2,8.7,7.3,8.3,8.8,7.6,8.7
D.G. Ruparel College of Arts Science and ,Maharashtra,Science,"7,005",--,7.9,8.3,7.5,8.1,8.6,6.8,8.2
"Mithibai College of Arts, Mumbai ",Maharashtra,Science,"55,000","50,000",8.5,8.5,8.3,8.4,8.9,7.6,9
"Ramnarain Ruia Autonomous College, Mumbai ",Maharashtra,Science,"37,295","7,450",7.9,8.4,7,8,8.4,6.6,8.9
B.K Birla College Of Arts Science & ,Maharashtra,Science,"28,800","10,270",7.6,8,6.5,8.1,8.1,6.6,8
Jai Hind College ,Maharashtra,Science,"6,130","13,602",8.5,8.5,8.3,8.5,8.4,7.8,9.2
Kishinchand Chellaram College ,Maharashtra,Science,"10,735","50,920",8.3,8.6,7.9,8.5,8.4,7.4,8.7
Rajiv Gandhi Institute of Information Technology and ,Maharashtra,Science,"70,000","1,05,000",8.3,8.6,7.4,9.6,8.1,7.4,8.8
"Sophia College for Women, Mumbai ",Maharashtra,Science,"47,340",--,8.6,9.1,8.4,9.1,9.5,6.6,9
IIT Bombay ,Maharashtra,Science,"38,000","2,28,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2
Institute of Chemical Technology ,Maharashtra,Science,"55,750","64,500",8.7,9.1,8.1,8.9,8.7,8.4,9.1
Savitribai Phule Pune University ,Maharashtra,Science,"21,000","5,850",7.6,8.1,7.1,7.9,7.9,6.8,7.5
Dr DY Patil Vidyapeeth ,Maharashtra,Science,"1,25,000",--,8.4,8.9,8.4,8.4,8.6,7.3,9
"DY Patil University, Navi Mumbai ",Maharashtra,Science,"1,20,000","1,25,000",7.5,7.3,7.1,7.7,7.5,7.4,7.8
"Narsee Monjee College of Commerce and Economics, ",Maharashtra,Science,"40,000",--,8.3,8.7,7.5,8.4,8.5,7.8,8.6
SP Jain Institute of Management and Research ,Maharashtra,Science,--,--,8.7,9,8.3,9,8.8,9,8.1
Mahatma Phule Krishi Vidyapeeth ,Maharashtra,Science,--,--,8.3,8.1,8,8.6,8.7,7.9,8.4
"Jamnalal Bajaj Institute of Management Studies -[JBIMS], ",Maharashtra,Science,"3,04,000",--,8.8,9.1,8.6,9.1,8.7,9.2,8.3
"RA Podar College of Commerce and Economics, ",Maharashtra,Science,500,--,7.7,8.8,6.8,8.1,7.4,7.1,8.2
"Government Dental College & Hospital, Aurangabad ",Maharashtra,Science,--,--,7.4,9,5,8.3,6,8.3,7.7
Armed Forces Medical College ,Maharashtra,Science,--,--,9.7,9.4,9.7,9.7,9.6,9.9,9.9
Narsee Monjee Institute of Management Studies ,Maharashtra,Science,"1,52,000","1,77,000",8.1,8.4,7.6,8.5,8.1,7.9,8.2
ILS Law College ,Maharashtra,Science,--,--,7.3,8,5.6,7.7,7.7,6.6,8
Visvesvaraya National Institute of Technology ,Maharashtra,Science,"59,800","34,800",8.1,8.3,7.5,8,8.4,7.7,8.7
Grant Medical College and Sir J. J. ,Maharashtra,Science,--,--,8.8,8.5,8.2,8.4,9.1,9.1,9.7
Seth GS Medical College ,Maharashtra,Science,"67,230","67,230",8,8.8,6.7,7.6,8,8.2,8.4
Central Institute of Fisheries Education ,Maharashtra,Science,"16,700","16,700",8.9,9,9.7,8.5,9.7,8.2,8.4
St Andrew's College of Arts Science and ,Maharashtra,Science,"25,197",--,8.2,8.4,7.2,8.3,8.6,7.6,8.8
Modern College of Arts Science and Commerce ,Maharashtra,Science,--,--,7.5,8,6.6,8.3,7.3,6.9,7.6
Indian Institute of Technology ,Uttar pradesh,Science,"20,050","2,15,600",8.9,9.1,8.4,8.7,9.3,8.9,9.1
Sanjay Gandhi Postgraduate Institute of Medical Sciences ,Uttar pradesh,Science,--,--,7.5,7,6.2,8.2,8.2,7.8,7.8
Banaras Hindu University ,Uttar pradesh,Science,"4,400","6,720",8.3,8.7,8.1,8.4,8.8,7.2,8.6
King George's Medical University ,Uttar pradesh,Science,"73,000",--,8.9,9.3,8.2,9.1,9.4,9.1,8.4
Indian Institute of Technology ,Uttar pradesh,Science,"36,815","37,315",8.5,8.5,8.2,8.1,7.6,9.1,9.2
Indian Veterinary Research Institute ,Uttar pradesh,Science,"15,900",--,8.9,8.4,9.4,8.7,9.3,8.7,8.8
Aligarh Muslim University ,Uttar pradesh,Science,"93,720","8,980",8.3,8.8,7.9,8.5,8.8,7.2,8.6
"Faculty of Law, Banaras Hindu University, Varanasi ",Uttar pradesh,Science,--,--,7.3,8.7,7.7,8.7,7.2,5,6.6
Institute of Medical Sciences ,Uttar pradesh,Science,--,--,8.6,9.2,7.5,8.9,8.2,9.2,8.4
"Amity University, Noida ",Uttar pradesh,Science,"1,20,000","80,000",8.2,8,7.9,8.1,8.9,7.6,8.7
MNNIT Allahabad ,Uttar pradesh,Science,"82,000","63,000",8,8.4,7.3,7.8,7.1,8.9,8.2
"Amity University, Lucknow ",Uttar pradesh,Science,"48,000","1,08,000",8.1,8,7.6,8.1,8.8,7.1,8.8
"Lloyd Law College, Greater Noida ",Uttar pradesh,Science,--,--,7.5,8.5,7.2,7.8,7.8,7.1,6.8
Chaudhary Charan Singh University ,Uttar pradesh,Science,"4,655","4,715",6.4,6.6,6.1,7.3,6.6,4.9,6.6
"National Post Graduate College, Lucknow ",Uttar pradesh,Science,--,--,7.6,8.6,7.4,8.5,7.6,6.8,6.7
IMS Design and Innovation Academy ,Uttar pradesh,Science,"2,37,000",--,8.6,8.5,8,9,9,8,9
Jaypee Institute of Information Technology University ,Uttar pradesh,Science,"50,000",--,7.8,7.8,7.7,7.3,8.2,7.8,7.7
Indian Institute of Information Technology ,Uttar pradesh,Science,"71,700",--,8.3,8.4,7.4,7.6,9,9.2,8.1
Sam Higginbottom University of Agriculture Technology and ,Uttar pradesh,Science,"39,000","71,000",7.2,7.6,6.6,7.5,7.5,6,7.9
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,Science,"15,840",--,8,8.3,7.1,8.5,8.1,8.2,8
Ewing Christian College ,Uttar pradesh,Science,"9,260","40,000",7,8.2,5.7,7.9,7.5,5.1,7.8
"CHM Institute of Hotel and Business Management, ",Uttar pradesh,Science,--,--,--,--,--,--,--,--,--
Teerthanker Mahaveer University ,Uttar pradesh,Science,"40,400","99,000",8.1,8.3,7.6,8.2,8.7,7.3,8.3
"Presidency College of Education and Technology, Meerut ",Uttar pradesh,Science,--,--,--,--,--,--,--,--,--
"Mewar Institute of Management, Ghaziabad ",Uttar pradesh,Science,"30,000","45,000",7.9,8.3,6.6,8.7,7.9,8.3,7.7
Rajiv Academy for Technology and Management ,Uttar pradesh,Science,"22,900",--,8.6,9.4,8.1,9,8.1,8.5,8.5
Mangalayatan University ,Uttar pradesh,Science,"25,000","30,000",7.9,7.8,7.8,8.2,8.4,7.1,8.1
Institute of Technology and Science ,Uttar pradesh,Science,"61,000","72,000",8.2,8.6,7.5,8.3,8.6,7.9,8.1
Indian Institute of Sugarcane Research ,Uttar pradesh,Science,--,--,8.7,8,9,9,8,9,9
DAV College ,Uttar pradesh,Science,"9,550","48,000",6.7,7.5,5.6,7.3,7,5.8,7.1
"St Stephen's College, New Delhi ",Delhi ncr,Science,"42,835",--,8.7,9.2,7.6,9.1,8.6,8.6,9.1
"Hindu College, New Delhi ",Delhi ncr,Science,"20,460","19,710",8.4,8.8,7.9,8.7,8.5,7.6,9
Lady Shri Ram College for Women ,Delhi ncr,Science,"20,670",--,8.5,8.8,7.9,8.6,8.6,8,8.9
"Miranda House, New Delhi ",Delhi ncr,Science,"19,800","16,170",8.6,9.1,8.5,8.5,9.3,7.1,8.9
Hansraj College ,Delhi ncr,Science,"24,515","16,554",8.4,8.7,7.9,8.7,8.5,7.8,8.9
Kirori Mal College ,Delhi ncr,Science,"14,595","9,339",8.2,8.7,7.6,8.6,7.9,7.3,8.9
"Ramjas College, New Delhi ",Delhi ncr,Science,"14,610","14,404",7.9,8.4,7.1,8.4,7.9,7,8.5
"Sri Venkateswara College, New Delhi ",Delhi ncr,Science,"14,555","13,191",8.3,8.7,7.8,8.5,8.2,7.9,8.8
Atma Ram Sanatan Dharma College ,Delhi ncr,Science,"13,345",--,7.8,8.4,6.7,8.4,8,6.8,8.7
"Deen Dayal Upadhyaya College, New Delhi ",Delhi ncr,Science,"19,345",--,7.9,8.4,7.4,8.3,8.4,6.5,8.2
Dyal Singh College ,Delhi ncr,Science,"15,860",--,7.7,8.2,6.9,8.1,7.7,7.1,8.3
"Lady Irwin College, New Delhi ",Delhi ncr,Science,"29,645",--,8.2,9,6.9,8.9,8.7,6.8,9
"Gargi College, New Delhi ",Delhi ncr,Science,"14,045","13,331",8.2,8.5,7.2,8.6,8,7.8,9
Jesus and Mary College ,Delhi ncr,Science,"16,610",--,7.9,8.6,6.9,8.1,8.5,7.1,8.4
Sri Guru Tegh Bahadur Khalsa College ,Delhi ncr,Science,"26,965","18,954",7.8,8.2,7.2,8.2,8.1,6.8,8.3
Shaheed Rajguru College of Applied Sciences for ,Delhi ncr,Science,"17,840",--,7.9,8.3,7.3,8.3,8.8,6.5,8.1
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,Science,"8,000","7,800",8,8.4,7.6,8.3,8.4,7.2,8.2
Acharya Narendra Dev College ,Delhi ncr,Science,"7,965","7,851",7.8,8.9,6.5,8.7,7.3,7.1,8.1
Daulat Ram College ,Delhi ncr,Science,"19,540",--,7.9,8.4,7.4,8.5,7.5,7.2,8.4
"Maitreyi College, New Delhi ",Delhi ncr,Science,"8,390","7,616",7.8,8.3,6.8,8.3,8,6.8,8.3
Shyam Lal College ,Delhi ncr,Science,"19,750",--,7.3,8.1,6.2,8,7.5,6.1,7.9
Kamala Nehru College ,Delhi ncr,Science,"10,500",--,8.1,8.7,7.6,8.8,7.3,7.2,8.7
Indraprastha College for Women ,Delhi ncr,Science,"45,600","13,000",8,8.8,7.6,8.2,8.8,7.1,7.5
Maharaja Agrasen College ,Delhi ncr,Science,"16,000",--,7.7,8.2,6.7,8.1,8.7,6.5,7.9
"Shivaji College, New Delhi ",Delhi ncr,Science,"22,970",--,7.8,8.2,6.8,8.3,8.1,6.8,8.3
Shaheed Sukhdev College of Business Studies ,Delhi ncr,Science,"29,025",--,8.6,9.1,7.6,9,8.3,8.8,8.6
"Keshav Mahavidyalaya, New Delhi ",Delhi ncr,Science,"9,336",--,8.1,8.6,7.4,8.7,8.8,7,8
"Sri Guru Gobind Singh College of Commerce, ",Delhi ncr,Science,"45,200",--,8.2,8.7,7.5,8.4,8.7,7.6,8.5
"Kalindi College, New Delhi ",Delhi ncr,Science,"13,297",--,7.4,8.6,6.4,8.4,7,6.3,7.8
"Ramanujan college, New Delhi ",Delhi ncr,Science,"22,500",--,7.9,8.6,6.5,8.4,8.3,7.2,8.3
Andhra Loyola College ,Andhra pradesh,Science,--,--,8,8.5,7.4,8.5,8.6,7,8.2
"Silver Jubilee Government Degree College, Kurnool ",Andhra pradesh,Science,"5,346",--,7.7,8.3,6.1,9,7.7,7.1,7.9
Acharya NG Ranga Agricultural University ,Andhra pradesh,Science,"27,900","29,830",8.4,8.8,8.1,9.4,8.2,7,8.6
