Feature1,Feature2,Feature3,Feature4,Target
64,53,957,0,88
20,66,1478,1,85
67,45,691,-1,77
26,53,966,-1,99
20,42,607,2,63
24,42,610,1,75
10,55,1021,-2,45
33,65,1415,0,33
16,68,1569,0,88
75,46,726,0,92
15,66,1472,-1,67
83,53,941,1,45
14,42,616,1,89
23,43,640,-3,83
76,61,1256,-1,79
30,58,1143,-1,79
57,53,953,2,71
44,47,747,1,50
87,53,936,0,33
38,46,725,0,74
61,64,1372,-1,46
59,50,847,2,63
28,52,926,2,84
59,46,725,-1,85
27,41,569,0,36
26,66,1476,0,82
69,66,1468,0,77
31,41,589,2,95
83,40,553,1,91
22,65,1427,-1,66
36,51,883,-3,66
53,50,839,0,39
80,58,1127,0,50
73,56,1064,-2,87
39,52,915,0,57
67,69,1602,1,72
65,68,1559,-3,81
75,50,844,-1,62
55,69,1597,2,50
30,56,1065,2,70
80,43,616,0,30
61,60,1222,-3,93
14,55,1017,2,30
66,49,822,-2,93
60,59,1171,-3,59
61,57,1098,-3,72
57,61,1243,-1,32
29,67,1516,-3,75
57,68,1552,2,54
81,46,722,-1,82
78,43,628,2,63
69,50,838,-3,44
85,57,1091,-1,59
41,68,1568,0,95
18,68,1550,-3,35
28,60,1221,0,74
55,65,1429,2,81
64,45,678,-1,37
85,45,697,0,99
83,69,1603,-1,81
79,67,1511,-3,79
28,52,914,-1,49
84,45,693,-1,88
76,63,1332,-1,59
27,68,1557,1,58
18,53,960,2,77
43,58,1135,0,59
30,58,1131,0,40
70,46,706,-2,32
32,61,1255,-3,59
25,54,993,1,73
40,47,748,0,50
28,61,1248,0,34
62,53,943,1,44
25,43,631,-3,57
33,41,584,-3,88
48,69,1612,1,94
74,44,657,2,63
20,53,950,-3,53
41,54,985,-2,56
71,44,668,0,96
58,65,1414,0,40
45,53,947,2,48
53,68,1550,1,46
38,63,1344,-1,80
16,50,856,0,74
52,61,1257,-3,75
63,48,791,-3,97
16,60,1212,2,40
12,43,642,-2,83
51,48,786,1,72
83,51,877,2,61
77,57,1100,0,82
46,41,575,2,60
18,49,827,-3,90
50,48,788,-1,82
21,53,964,2,89
13,59,1186,-1,84
87,53,941,-1,50
59,64,1369,-2,37
48,65,1425,-2,72
16,40,541,0,30
65,51,889,2,89
54,50,844,-3,57
28,43,641,-3,89
80,60,1204,-3,46
81,57,1091,-1,58
33,46,714,0,40
15,60,1217,-2,58
84,61,1254,-1,75
46,48,787,1,74
24,46,726,-3,74
54,62,1299,-2,77
54,68,1565,-2,96
45,43,632,0,65
53,54,984,-2,58
63,43,622,0,43
52,66,1466,0,64
71,42,598,-3,62
19,69,1604,-3,61
58,65,1424,-3,74
44,61,1255,-3,66
46,60,1223,-1,88
71,69,1610,2,94
65,52,915,-1,67
28,62,1288,2,30
40,50,845,-2,53
12,44,656,1,36
83,43,624,1,54
65,42,596,2,49
50,50,841,1,41
67,66,1475,-2,98
56,40,553,2,79
52,51,879,0,57
82,51,889,2,98
51,46,720,-1,65
48,43,643,-1,99
45,42,598,-3,50
68,41,569,-1,55
68,46,727,2,90
85,57,1093,0,64
27,51,894,-3,94
81,47,754,-2,88
60,68,1556,-1,68
14,55,1025,1,56
84,51,887,1,92
24,53,958,-3,77
81,45,683,-3,58
58,60,1212,0,60
83,58,1127,0,51
19,66,1473,2,68
55,58,1135,-2,66
77,43,633,-3,83
45,44,664,0,75
84,50,849,1,81
63,67,1499,-2,35
49,44,650,1,32
59,58,1127,1,40
13,56,1056,-2,38
69,50,855,-2,95
65,40,556,0,94
25,43,641,0,83
17,44,674,1,92
84,65,1413,-2,51
51,44,668,2,85
83,54,982,-2,64
12,60,1217,1,56
15,55,1019,-1,39
57,51,870,-3,34
19,55,1022,0,48
80,53,947,-2,67
45,67,1514,0,72
68,59,1169,-2,54
50,42,598,-2,52
67,44,667,-2,93
28,59,1172,1,44
87,51,886,1,92
63,59,1182,-1,91
69,44,651,2,44
88,64,1366,0,37
12,45,697,2,70
76,47,746,2,57
37,53,963,1,93
27,45,684,-1,39
12,64,1379,-1,47
69,61,1243,2,34
26,44,673,2,91
44,60,1222,-2,87
65,55,1012,-1,39
64,64,1369,-2,40
34,69,1598,1,46
58,60,1217,0,74
46,68,1567,0,96
73,45,674,-3,30
63,49,816,-1,73
38,66,1465,2,53
17,51,875,1,31
74,46,706,0,33
77,57,1102,2,87
21,60,1224,-3,84
54,65,1410,-2,30
22,48,796,-1,95
36,61,1247,-3,37
35,50,850,-1,64
79,69,1606,1,87
80,61,1250,1,61
30,47,751,-1,58
81,66,1472,0,93
76,47,753,0,81
81,51,879,1,68
56,59,1178,1,74
28,51,876,-1,40
83,50,840,2,52
50,56,1067,-3,87
35,42,611,-1,84
74,63,1330,-3,54
62,69,1592,-2,42
83,59,1169,1,59
87,43,627,2,64
11,60,1216,-2,54
29,57,1111,-1,97
84,65,1419,2,63
24,66,1468,-3,60
87,40,535,1,40
56,68,1557,-3,71
71,55,1010,-2,35
87,60,1219,2,90
68,59,1172,-1,62
70,55,1030,1,92
44,46,726,-2,81
31,45,680,-3,31
33,57,1107,0,86
37,40,559,1,90
58,44,665,-1,82
10,50,857,1,75
28,42,610,0,76
51,52,912,0,52
23,46,713,0,31
13,61,1262,1,68
57,47,745,2,46
36,42,599,-2,48
49,60,1219,-1,78
50,56,1054,-3,50
42,57,1107,2,87
18,40,558,1,80
65,43,625,-1,54
89,44,665,0,95
14,65,1427,2,59
42,57,1104,-3,82
77,51,881,-3,77
81,43,625,-2,61
53,41,578,2,73
34,53,960,1,83
63,63,1332,2,51
28,58,1133,-2,49
66,57,1102,1,82
79,53,943,-2,53
88,56,1044,-3,35
55,42,599,-3,57
66,42,602,-2,71
49,54,995,0,89
64,53,954,-3,83
83,63,1341,2,84
34,69,1609,-3,83
30,62,1302,0,73
21,50,842,0,34
39,41,569,-2,45
83,53,946,1,61
74,42,610,2,95
88,66,1458,0,53
27,57,1109,-1,89
41,51,893,1,94
57,50,857,2,93
52,58,1140,-3,79
41,63,1341,-1,72
40,57,1108,-2,92
24,51,886,1,65
45,63,1348,2,91
83,56,1061,1,79
78,47,739,0,38
21,69,1610,1,75
29,58,1141,1,70
46,42,609,0,82
72,57,1103,1,88
22,65,1416,-1,34
61,50,855,1,89
18,59,1178,0,60
27,54,986,2,50
17,67,1504,-1,32
69,58,1143,-1,93
64,58,1127,2,42
61,64,1388,-3,96
58,50,850,0,74
21,60,1222,1,73
86,42,595,2,53
31,63,1351,-3,99
33,48,777,-1,41
46,49,827,-2,99
61,50,857,2,94
67,51,878,0,59
45,42,601,0,57
42,58,1146,-1,92
47,61,1250,2,45
84,47,747,-2,68
30,47,762,1,89
69,58,1143,1,91
55,60,1212,-2,60
11,59,1174,-1,45
81,60,1222,2,95
85,49,820,-1,94
63,40,536,0,33
76,42,608,-1,90
44,66,1458,-3,40
36,48,795,0,95
53,53,961,0,96
79,57,1087,2,43
15,67,1513,0,55
36,50,855,0,80
17,57,1090,-3,31
69,44,658,0,66
31,41,573,1,48
54,61,1255,-1,67
28,64,1383,-3,66
53,61,1252,1,55
61,58,1135,-3,68
24,42,611,1,78
64,48,791,-2,98
85,42,593,1,48
81,43,637,1,94
32,47,756,-3,74
50,62,1301,1,78
12,59,1170,2,32
19,61,1264,-1,80
72,53,959,-1,99
59,60,1211,-1,57
84,57,1090,-3,59
45,54,977,2,32
74,46,713,-1,54
37,48,790,-1,83
87,42,602,0,78
40,53,952,-1,63
82,54,974,2,37
64,58,1141,-1,86
76,65,1423,-1,75
31,65,1431,-3,84
53,40,549,0,67
47,65,1417,2,42
57,51,870,1,30
58,49,822,-3,90
12,41,570,2,31
80,46,707,-3,41
46,41,576,1,64
27,45,703,1,93
16,51,875,-2,32
82,49,812,1,66
21,48,777,2,34
23,55,1022,-2,53
83,69,1599,1,69
36,47,756,-1,73
12,40,546,-2,45
18,65,1431,-2,76
13,49,812,-2,41
80,63,1323,1,30
83,55,1014,1,50
50,48,794,-1,98
60,57,1097,1,66
34,40,550,1,62
63,59,1176,1,71
38,66,1473,0,79
38,55,1030,0,80
43,42,615,-2,99
20,62,1302,1,70
44,58,1148,-2,99
16,48,792,2,77
10,64,1390,0,78
60,47,744,-2,48
33,67,1523,-2,96
73,56,1059,0,69
25,54,998,1,88
60,57,1087,1,34
74,42,608,-3,93
44,68,1564,1,84
70,68,1550,0,54
11,43,634,1,55
67,68,1544,-3,38
37,63,1335,-3,53
76,67,1509,-2,69
38,65,1428,0,74
57,41,565,2,35
28,42,610,-1,79
34,58,1138,-2,67
46,62,1290,-3,47
38,48,785,0,66
87,68,1549,1,56
68,42,598,-1,59
42,61,1246,-1,36
25,44,668,-2,80
70,63,1340,-2,80
42,62,1291,-2,48
72,40,537,0,41
16,44,659,-3,51
16,63,1349,0,85
58,57,1089,-3,43
62,46,726,-1,88
82,67,1503,1,53
76,66,1471,-2,90
24,46,719,0,52
77,49,811,1,61
88,62,1296,2,77
28,40,552,-1,68
48,68,1560,2,74
11,40,548,0,49
60,67,1516,-3,85
37,58,1133,1,49
45,68,1566,-3,95
14,46,735,-1,96
22,66,1460,-2,34
23,65,1416,-2,34
31,51,883,-3,63
85,57,1082,-1,32
42,46,710,-2,33
23,56,1065,2,67
63,41,583,-2,95
83,41,568,-3,59
26,55,1029,0,71
23,57,1091,1,31
79,61,1251,2,61
87,62,1295,0,76
71,63,1346,-1,98
18,59,1183,-1,77
81,56,1059,0,73
66,46,713,0,50
11,43,637,-1,68
89,46,703,-2,31
66,54,974,-2,33
89,45,692,-2,88
86,67,1516,-1,95
71,57,1107,0,99
44,47,763,1,96
26,48,791,0,78
50,62,1286,0,33
33,60,1209,1,38
18,54,987,-1,54
29,61,1269,1,98
53,49,816,-2,71
86,43,622,0,52
86,48,777,-2,63
66,43,627,-3,62
52,51,889,-3,91
55,68,1544,-1,32
40,56,1066,-2,80
79,56,1056,-1,66
15,44,657,-1,42
22,63,1343,-1,71
31,47,744,0,34
55,51,874,1,41
43,40,539,-1,36
42,61,1248,-3,43
20,63,1344,1,69
32,42,614,0,90
62,50,857,-3,98
18,69,1597,2,35
15,63,1348,2,80
76,59,1170,1,59
20,58,1150,-1,94
82,67,1502,0,51
52,54,984,-2,58
80,62,1297,-1,81
60,58,1140,-3,84
36,47,749,-2,55
65,55,1033,2,97
44,54,988,-3,70
53,50,840,-3,45
22,41,589,1,93
51,55,1031,0,87
77,45,685,-3,63
13,68,1559,1,58
35,43,644,-2,98
73,44,658,-1,67
29,61,1269,-2,99
52,40,543,2,49
13,66,1466,1,46
18,60,1214,-1,49
59,55,1010,-2,32
50,69,1600,1,59
63,42,593,1,38
18,50,853,-1,68
81,54,983,-2,67
51,62,1289,-3,46
52,59,1163,-3,31
79,52,921,1,90
50,50,860,2,97
36,49,818,1,66
88,68,1551,-1,65
84,63,1326,-3,47
70,49,811,2,58
15,69,1603,0,55
57,57,1105,-3,92
77,45,694,2,87
40,62,1295,-3,61
74,44,665,-3,93
46,49,822,-1,83
36,43,633,-2,66
22,53,964,-3,95
18,69,1615,2,90
39,42,594,-3,38
23,63,1348,-3,88
35,53,942,-2,33
21,61,1251,-2,41
76,42,604,-2,80
61,60,1203,-3,35
36,51,882,2,58
72,66,1473,0,93
18,46,726,2,66
59,52,906,-1,38
88,47,742,-2,54
80,54,982,-3,66
67,68,1553,1,60
29,57,1109,-2,92
52,63,1329,0,38
46,60,1208,1,41
74,65,1413,-2,46
70,60,1208,-3,54
19,63,1351,-3,95
17,44,668,-2,76
19,56,1067,1,73
63,68,1546,-2,42
11,48,788,-1,64
89,40,539,2,51
36,50,859,-2,93
58,51,889,2,86
81,41,582,1,97
37,67,1503,-3,37
27,40,559,2,85
23,45,689,-3,54
79,65,1425,-1,84
53,50,850,-3,74
59,64,1382,1,72
50,58,1127,-2,39
54,56,1060,0,67
70,53,942,0,45
58,51,890,-1,94
52,57,1093,-1,51
14,62,1310,-2,93
66,44,660,-2,71
17,52,913,1,42
65,67,1518,-2,93
39,63,1332,-1,45
28,63,1346,0,80
84,45,693,2,85
85,45,686,0,66
84,60,1208,-3,61
58,66,1458,-1,42
85,41,565,1,46
71,55,1026,-3,83
27,55,1018,-1,42
67,40,554,2,87
67,47,745,2,51
26,64,1379,-3,55
71,60,1221,-2,92
37,64,1382,-2,67
35,40,560,1,94
66,54,984,-3,64
43,46,725,-3,80
82,49,817,-1,85
38,46,710,-3,31
28,68,1558,-3,65
43,64,1374,0,43
82,65,1425,-3,87
75,41,561,1,31
58,58,1143,-3,90
22,60,1211,1,40
73,59,1167,2,48
26,63,1352,-1,97
15,46,721,-2,54
43,56,1063,2,67
58,48,781,0,63
59,43,626,-2,56
52,47,762,0,99
76,50,852,-3,88
68,53,943,0,48
11,61,1254,-1,46
84,44,663,-2,90
50,49,814,2,58
23,58,1137,-3,59
51,47,743,-2,42
64,62,1289,1,48
68,54,974,1,33
69,52,909,1,50
48,61,1261,-1,82
28,42,598,-1,41
51,58,1129,-1,44
65,60,1218,1,78
38,60,1217,-1,67
20,40,541,1,30
42,40,538,-2,33
15,56,1074,-3,94
33,46,729,-2,85
51,59,1179,0,75
41,45,681,0,33
14,63,1336,2,44
11,53,953,-1,55
72,44,648,0,36
76,51,878,2,60
58,51,872,2,37
82,51,885,2,85
35,43,628,1,47
33,63,1346,-1,84
70,50,850,2,75
82,47,755,-1,89
83,47,740,-2,47
64,60,1224,2,97
59,58,1144,-1,92
37,66,1466,0,58
15,63,1348,-3,84
44,68,1566,0,91
48,55,1024,-2,67
19,49,830,-2,98
81,56,1060,1,74
89,65,1413,-2,52
55,44,666,-2,87
78,48,788,-1,93
51,46,710,-1,36
56,49,820,0,81
88,50,846,-2,74
34,46,724,0,70
66,64,1387,0,91
76,40,555,2,93
16,62,1302,-3,71
65,44,656,0,58
72,50,854,-3,94
11,68,1557,-1,52
17,52,927,0,83
58,58,1129,-2,48
56,45,685,-2,55
68,42,602,-3,72
73,65,1411,0,36
78,44,650,-2,48
27,56,1071,0,88
77,67,1501,1,45
50,53,949,1,56
60,57,1096,-1,63
11,41,590,1,91
80,66,1465,0,70
73,64,1379,-3,73
25,56,1071,1,87
54,60,1207,-1,45
34,56,1052,0,35
44,66,1469,1,68
56,60,1218,-2,77
85,44,649,-2,46
21,69,1605,-2,65
82,61,1241,-3,39
31,64,1388,-3,82
39,57,1111,1,98
23,50,862,-3,98
17,66,1462,0,38
19,43,631,-3,55
76,56,1050,1,43
14,60,1209,1,31
27,41,581,2,71
58,66,1470,2,74
71,61,1263,-2,98
71,43,623,2,45
76,64,1375,-2,62
19,49,822,-1,73
45,46,714,-3,48
66,45,678,-2,37
14,58,1134,-3,48
88,58,1128,2,52
60,57,1086,0,33
18,64,1395,-1,98
59,68,1546,-3,40
47,42,607,0,77
40,55,1015,-1,36
17,50,859,2,81
66,55,1023,0,70
50,42,594,2,36
37,68,1565,-2,87
34,49,824,-2,87
22,40,562,-2,98
15,62,1302,-1,69
46,62,1297,-3,67
15,59,1187,2,83
41,66,1475,1,85
72,43,623,1,49
53,61,1244,0,32
53,57,1103,-2,83
53,69,1592,-1,38
62,40,547,1,65
82,65,1407,-2,32
28,55,1036,1,92
11,46,715,-2,35
12,62,1300,2,59
51,42,605,-1,72
58,54,992,1,83
45,59,1167,-1,38
52,49,817,-3,75
74,67,1501,0,45
26,68,1568,-3,92
67,42,591,0,37
62,69,1603,-2,74
28,69,1607,-2,74
81,52,915,1,71
57,69,1609,-2,90
13,58,1146,-1,81
27,50,850,2,59
27,52,917,0,58
69,49,824,1,98
61,65,1428,2,81
18,61,1260,-2,67
80,57,1096,-3,74
32,59,1184,2,81
50,57,1098,1,64
87,45,681,0,53
39,54,994,-2,85
82,64,1369,1,42
80,59,1176,2,76
71,55,1032,2,97
15,51,896,-3,95
15,55,1023,2,48
59,47,761,-1,98
51,52,915,0,62
39,59,1182,0,82
13,48,786,-2,60
34,44,660,0,58
24,42,598,0,41
10,61,1250,-1,33
42,42,609,-1,81
86,49,811,1,66
72,51,872,-2,46
60,50,842,2,48
41,44,669,-3,90
20,44,662,1,57
75,52,901,-3,31
55,43,631,-3,69
68,59,1169,-2,56
29,66,1460,-1,38
57,68,1562,-1,85
18,61,1260,-3,70
47,53,956,-3,80
49,57,1087,-3,35
80,66,1469,2,81
87,40,540,-2,56
38,43,623,-1,35
31,52,910,-2,39
76,62,1295,1,69
51,53,941,-1,34
53,48,778,-3,55
48,58,1142,0,80
53,53,950,-1,63
24,52,928,0,89
40,60,1212,0,51
30,53,944,0,34
67,64,1381,-3,77
87,46,719,-1,78
19,42,613,-3,85
62,65,1422,2,65
71,42,603,1,73
43,42,596,-3,45
17,44,675,-1,98
48,58,1125,0,31
71,65,1429,1,89
60,62,1304,0,91
41,64,1372,2,34
87,57,1085,2,40
39,40,555,2,79
58,62,1293,-2,59
14,64,1383,1,57
49,40,539,0,36
46,40,559,-2,96
83,64,1387,-1,99
10,60,1211,0,37
49,61,1252,2,52
59,48,784,-2,73
52,49,823,0,88
70,61,1250,-3,59
85,55,1025,2,83
52,40,558,0,94
25,48,791,2,76
77,55,1028,2,89
76,44,665,1,88
22,60,1210,1,37
33,44,659,-1,55
28,55,1029,-2,76
62,69,1592,-1,40
89,47,746,-3,67
58,61,1260,1,81
45,49,812,-2,54
58,60,1211,2,54
11,51,897,-2,95
28,67,1506,1,38
46,50,854,1,80
72,41,575,1,71
84,53,939,2,41
70,57,1084,-2,34
41,42,603,-2,63
72,64,1370,-3,47
44,45,701,1,94
10,58,1143,-1,71
88,50,844,2,66
10,58,1153,1,97
82,41,559,-3,33
64,48,771,-1,36
21,60,1229,0,95
83,53,951,1,77
54,51,869,-3,31
19,63,1345,0,75
87,56,1052,2,52
71,69,1591,-2,42
16,68,1553,-1,42
74,51,868,0,33
85,69,1589,2,37
34,50,841,2,34
89,50,852,0,92
40,49,821,-3,80
35,64,1371,2,30
42,68,1560,-2,75
27,45,690,-2,58
87,54,990,-3,91
75,50,851,-3,85
39,68,1555,2,54
25,52,930,2,95
48,53,958,1,83
66,44,651,0,42
40,66,1459,-3,40
47,41,576,0,67
44,42,611,0,86
33,61,1253,2,48
87,41,570,0,64
59,61,1263,0,93
85,44,660,2,75
26,54,991,0,68
26,55,1030,1,74
64,41,562,-2,34
78,63,1324,2,32
30,44,652,-3,35
23,48,797,-2,97
54,47,747,-1,54
65,48,785,-1,79
56,45,678,-2,34
29,40,551,-1,65
69,63,1338,2,72
75,63,1326,2,37
28,54,994,0,78
65,58,1145,1,95
50,61,1260,-3,82
89,44,664,2,91
87,41,567,1,54
43,47,759,-3,89
49,51,879,2,55
64,44,658,-2,66
62,58,1130,1,51
57,69,1591,2,34
42,53,945,-1,43
45,54,981,-3,47
31,47,748,1,47
30,59,1166,-2,32
19,48,795,1,88
36,43,627,-2,47
81,40,555,1,97
21,48,795,2,88
71,64,1366,0,31
67,48,792,1,98
27,54,983,0,43
80,53,941,-3,48
12,55,1022,1,45
46,66,1460,-3,45
12,59,1185,2,78
74,65,1410,-1,36
84,52,918,-1,85
39,47,747,0,49
41,51,878,-1,50
18,44,658,-1,47
87,43,628,1,69
13,65,1433,2,76
13,57,1093,-1,36
66,45,693,2,78
51,57,1096,1,57
66,40,541,1,48
33,53,952,-3,63
20,59,1177,1,58
86,54,990,1,88
41,52,921,-3,78
50,54,985,-2,62
53,50,857,-3,94
19,63,1344,-2,73
43,57,1090,1,38
60,50,847,1,65
75,58,1124,2,36
78,59,1164,-1,44
48,61,1256,-2,69
39,56,1069,1,87
28,53,952,1,58
18,63,1350,0,88
54,64,1369,-2,35
75,46,717,-2,66
75,56,1051,-2,48
35,59,1177,0,64
22,43,625,1,33
62,57,1093,-1,56
36,45,682,-3,38
31,41,586,1,89
86,68,1550,-2,62
79,46,723,1,83
18,55,1032,0,77
13,67,1507,2,35
14,61,1249,2,31
69,62,1298,2,75
66,66,1468,-3,78
61,50,838,2,37
37,65,1426,1,68
50,57,1098,-3,67
28,55,1019,-1,44
84,56,1048,-2,45
26,40,556,-1,80
81,46,719,-3,75
24,46,716,-2,44
33,49,816,-2,63
82,56,1045,-1,34
47,65,1421,2,55
31,49,823,0,79
19,69,1604,-3,63
16,65,1421,-2,46
89,68,1542,2,37
31,50,853,1,69
30,68,1560,0,69
35,42,613,-2,92
46,69,1592,-3,37
22,67,1511,-1,54
48,42,599,2,50
16,66,1467,2,50
29,59,1181,2,71
17,67,1516,-1,68
20,43,635,-3,67
80,64,1376,-2,67
39,55,1034,1,91
86,66,1466,2,73
22,50,862,-2,98
82,49,801,-1,35
37,45,682,-1,36
11,54,1001,2,89
27,63,1348,-3,90
58,45,692,0,74
24,58,1131,-1,41
43,69,1598,-2,51
83,61,1253,1,70
22,44,667,-3,76
82,46,719,-1,74
14,40,548,1,50
54,59,1170,0,50
34,55,1024,0,61
56,54,995,-1,91
46,47,756,-3,80
72,51,876,0,56
17,52,929,0,90
26,66,1472,1,69
47,49,823,-1,88
16,68,1559,1,57
35,44,655,0,42
89,41,562,-1,42
72,56,1061,-2,78
25,68,1553,1,45
65,45,680,1,40
36,65,1435,0,93
35,42,596,-1,39
78,65,1414,2,46
21,62,1303,-1,74
51,54,984,2,55
23,64,1393,2,89
39,52,914,0,53
86,53,958,1,99
42,56,1056,-2,52
48,65,1429,1,79
58,42,598,1,51
45,61,1249,1,44
61,46,708,-2,35
42,43,626,-1,46
46,52,909,-3,43
14,55,1020,0,42
66,45,686,1,59
81,63,1329,-2,53
22,43,628,1,44
35,60,1223,2,82
69,63,1338,-1,74
74,50,852,-2,87
15,54,994,-3,76
76,63,1340,-3,84
41,63,1336,0,54
64,51,885,-3,82
39,47,756,-3,79
31,61,1259,1,66
58,66,1458,-1,43
40,64,1388,1,83
34,50,857,-1,86
23,60,1210,1,38
21,64,1386,1,69
46,50,839,-1,35
35,44,660,0,59
74,42,601,1,68
73,50,846,1,65
50,49,814,0,61
33,57,1107,0,84
27,43,632,-3,62
46,46,726,-1,81
70,57,1100,1,77
11,60,1211,-3,41
86,68,1545,-3,49
19,44,656,2,39
31,52,911,0,40
27,41,576,1,57
46,68,1549,2,38
49,40,547,-1,61
10,46,715,-3,35
29,48,788,-1,73
63,61,1244,-3,40
21,62,1291,-1,38
29,65,1429,2,73
40,65,1427,-2,73
51,58,1141,-2,81
42,68,1560,1,73
31,57,1090,-2,34
89,52,920,-1,93
14,42,596,-2,33
77,41,567,2,50
84,48,776,-1,60
58,65,1430,1,88
88,42,610,1,99
42,51,878,2,48
34,50,840,1,32
25,67,1524,2,90
51,40,543,-2,52
73,41,581,-2,92
78,63,1341,-2,88
59,41,563,0,31
84,53,957,0,96
46,53,956,2,74
10,49,824,2,74
14,64,1388,0,73
37,58,1139,-1,68
85,54,989,1,85
39,43,628,-3,55
39,51,894,-1,99
56,65,1422,-2,65
83,67,1516,-2,93
25,62,1297,-3,60
58,60,1215,2,66
39,65,1432,-3,91
28,64,1392,-1,93
67,62,1294,2,64
14,68,1561,1,65
11,61,1267,-2,86
81,42,588,-2,34
68,65,1409,-3,33
58,57,1106,-3,94
36,40,542,-2,41
56,41,586,-1,99
84,60,1216,-3,85
67,69,1606,2,82
19,55,1035,-3,91
10,50,852,-1,60
86,44,655,0,63
79,48,785,-1,84
29,49,821,-1,76
10,43,627,0,36
13,58,1149,-1,88
32,61,1267,1,93
57,57,1092,-3,54
15,48,798,2,95
72,40,537,1,39
25,44,656,-3,46
17,66,1473,-1,72
19,62,1311,-3,99
75,58,1124,1,37
19,44,672,0,88
41,43,637,2,75
78,46,722,-1,81
77,65,1409,-2,34
49,65,1422,1,60
41,40,554,2,76
53,68,1544,-3,31
89,64,1365,0,36
21,63,1343,2,65
84,53,943,0,55
70,56,1065,1,85
27,53,963,-2,93
64,49,802,-2,33
75,54,994,0,97
66,55,1020,1,60
44,62,1286,1,31
37,50,846,-2,55
38,44,672,-3,97
86,49,806,-2,53
22,61,1251,-2,43
39,57,1108,1,90
40,40,546,0,54
72,68,1558,0,78
15,46,727,2,68
68,63,1346,2,93
33,42,613,-1,88
16,40,541,-1,30
14,64,1384,-1,63
70,61,1244,-1,41
32,54,1000,-1,99
50,55,1025,2,67
82,63,1342,0,91
62,49,805,2,36
52,57,1096,-3,63
50,55,1015,0,39
20,45,699,-1,82
61,67,1506,0,53
79,46,717,-3,69
39,55,1032,0,87
84,45,694,-2,92
88,41,569,-1,61
13,68,1555,0,45
28,50,848,2,54
67,52,906,0,41
87,48,781,1,72
52,48,777,0,48
17,53,947,0,38
86,41,568,-3,60
59,52,908,2,42
78,42,599,0,63
58,69,1606,-1,81
67,51,867,-2,30
25,45,683,-3,37
57,65,1429,0,84
82,48,784,1,80
15,51,891,-1,79
26,43,628,1,43
26,68,1557,2,54
26,61,1263,2,75
20,55,1038,-2,99
58,49,803,-3,35
16,66,1464,-1,43
15,67,1508,1,40
30,62,1292,1,43
42,60,1220,-1,79
87,47,752,-2,84
21,44,665,-2,70
35,65,1434,2,90
72,47,740,2,38
59,58,1131,1,51
78,62,1285,-1,43
29,59,1174,2,52
14,58,1136,-1,52
26,50,847,-3,54
45,57,1108,1,93
22,67,1518,-3,76
86,42,603,-1,79
55,53,942,2,37
19,46,726,0,70
62,41,573,-3,65
72,59,1184,2,99
20,68,1554,2,44
53,63,1336,1,58
23,49,810,-1,38
28,68,1549,-1,34
47,49,816,-3,68
51,42,601,0,60
14,64,1378,-3,47
64,57,1100,0,77
50,40,556,0,87
71,59,1169,0,53
55,44,656,2,52
63,41,582,2,89
71,65,1409,0,31
30,46,718,-2,51
14,42,603,-3,55
11,50,855,-3,71
77,41,573,1,68
88,42,590,-1,43
29,49,814,0,53
89,43,618,-1,43
25,40,553,-3,73
14,53,949,0,43
26,42,613,-2,86
59,68,1564,0,91
42,68,1548,-2,40
86,59,1180,-3,96
55,55,1028,2,80
29,62,1306,1,84
12,48,779,-3,41
25,67,1520,-3,85
61,48,780,-2,63
82,57,1085,-2,41
51,48,775,-2,43
34,49,811,-3,50
23,43,627,-2,42
13,49,824,2,73
28,52,917,-1,58
76,41,574,1,69
47,42,600,0,54
17,48,794,-3,89
71,48,774,0,47
47,65,1413,0,34
10,56,1075,-2,95
36,42,603,-3,62
18,47,765,0,93
52,65,1433,-3,97
36,55,1020,-1,49
58,46,729,2,92
15,43,640,-2,78
23,68,1553,-1,44
84,61,1239,-3,33
76,48,776,-3,56
25,47,766,0,99
15,44,665,0,66
61,66,1462,0,54
50,48,785,-3,74
16,67,1517,0,69
74,48,768,-3,34
61,48,786,0,78
51,61,1261,2,79
24,40,545,1,43
11,47,756,-2,64
79,56,1063,-2,86
11,41,587,-1,86
58,47,754,-3,78
15,45,700,-3,83
54,52,912,-3,56
80,40,541,2,53
10,53,966,0,94
26,63,1350,-3,95
50,40,550,-1,71
54,63,1334,2,54
77,65,1414,2,47
25,65,1434,-3,91
86,56,1059,-2,78
89,56,1061,1,82
41,67,1509,-2,55
73,64,1379,-2,73
70,57,1101,-3,86
32,55,1019,0,44
15,61,1249,0,33
27,45,695,0,71
29,63,1349,-2,92
79,46,718,2,69
17,65,1421,-3,49
84,49,801,1,35
52,45,697,-1,89
70,69,1589,-3,36
34,40,556,-1,83
70,64,1387,1,92
46,67,1513,1,67
65,53,958,-1,93
37,57,1110,0,97
33,65,1427,1,67
67,51,872,0,41
67,63,1344,1,88
29,69,1595,0,36
78,41,566,-2,50
38,49,806,2,30
68,51,884,-1,78
38,66,1469,0,65
82,66,1467,-3,81
26,56,1068,1,77
41,46,713,2,38
74,41,581,-2,94
87,59,1168,0,58
58,50,850,2,71
84,49,806,-2,54
77,50,835,1,35
27,67,1508,1,45
51,58,1125,-1,31
64,60,1216,-2,77
48,66,1468,-1,67
20,69,1602,0,52
14,48,793,2,79
81,55,1028,2,88
89,59,1160,0,34
