Negative 	 Enna da ellam avan seyal  Mari iruku
Negative 	 I am here for Nawazuddin Siddiqui
Positive 	 Màráñã Mass ..... Thalaivaaa .    Sweet edunga kondadung
Negative 	 Sirapana tharamana sambavam Iruku Ponugaluku.. Thalaivaaaaaa Mazzzz da.. vjs acting Pakka
Negative 	 Athana haters um odi poidunga , illa adichi underwear oda vitruvom
Mixed_feelings 	 Sweet sapta porom....last dance semma
Negative 	 Thalaivar varrarru... Podiyanugkellam odidu... Adichu underwearoda oda vittiruvar pathukkonga
Positive 	 Adichi underwear ode oodde viteruven.. Ooddire
Positive 	 Odhungidu oodi padhungidu thalaivar varaar petta paraak  Yarruku sollurenu theriyumnu nennaikuren
Positive 	 Marana mass ah irukke...song um trailer um...saavadi
Positive 	 Thalaivaaaaaaaaaaaaaaaaaaaaaaaaaaa  mavane kollama vida maaten
Positive 	 pakka thana poreenga yenga super star attathai petta parak parak
Positive 	 Unmayana serapana sanbavam paka porom
Positive 	 Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...
Positive 	 Kerala tamil cinema lovers LikE hErE
Negative 	 Vijay sethupathiyai nawazuku keel velai seyvadhu pol kaambichu tamilan vada indianukku adimayaga irukka vendum yenbadhai valiyuruthi ullar rajnikanth
unknown_state 	 Konjam othinkitu Oti pathunkitu varathu thalaivaru
Positive 	 What a trailer Rajinikanth Sir is again back
Positive 	 Thalaivar ku age 69 na illa 20 ya....
Positive 	 Epdi thalaiva ipdi I love u ur style
Positive 	 Sirappana tharamana sambavam on Jan 10th
Positive 	 We want more vjs scene in petta
Positive 	 Makkal Selvan fans Get ready daa......  🤙
Mixed_feelings 	 Yentha paratesingeh da dislikes kuduthingeh?? Thalaivar masss
Negative 	 Sivaji - Bhajii Sapdu Petta - Sweet Sapdu  Serious scenes,  Same Modulation
unknown_state 	 Oru scene thalaivar yarai u adikla
unknown_state 	 Look like vj sethupathi shot dead thalaivar
Positive 	 Rajni sir i love you  iam kerala petta iam waiting
Positive 	 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...
Positive 	 Feeling the vintage thalaivar...annamalai arunachal basha padaiyapa elathiyum sethu vechu paakura matiri iruku...sema. anyone feels the same???🤗
Mixed_feelings 	 Thalaiva Ni padam Mattum Nadi adhuvae podhum.....arasiyal vendam.... Niyae paran  Ni Evlo masssss ha erukanu
Positive 	 Traillar parakk thalaiva love  u
Positive 	 Idhe idhe idhethaan edhurparthom, Thalaivar Semmae Maas look like 90s, Rajini sir ippadi dhaan parkah virumbugirom pa
Mixed_feelings 	 Semma ... dai ranjith inni mel thalaivar vechu padam edhutha ..
Negative 	 PANNI MOONJU VAAYAN KABALI KUNJITH... WASTE...
Positive 	 Vijay sethupathi fanz  like
Positive 	 Sirappo sirappu mass's daaaaaaaaa thalaivarayum avar attaththaiyum pakkaththan poringa
Positive 	 Ippam enna panna porom???  Sweet sappida porom...
Positive 	 Ena manushanyaaa pppaaaaaahhhhh inoruthen poranthu varanum
Positive 	 Evanume thalaivar kitta  nerunga midiyathu ds
Positive 	 Veri thanamaana kola kaandla irukkaru, visvasam ma irundha visvasam odum illana ___
Positive 	 Kolla thanama verila irukkura thalaivar veriyargalam inga like ah therikka vidunga papom
Mixed_feelings 	 I am vj fan but I like it music
Positive 	 Rajini fans hit like here
Positive 	 Kolla Kandula Eruken Mavane Kollama Vida Matten... Thalaivar Vera Level...
Positive 	 Viswasam pesama post pannidunga.. illati kaali dha!
Positive 	 All superstar mass fans hit like
Positive 	 always super star ma rajini sir
not-Tamil 	 Ahh style n attitude lo ninnu kottevadu enka puttaldhu Rajini Sir
Positive 	 Surukkamaa sonna intha generation pasangaluk baasha, padayappa theatreleh poy paakkamudiyaadhavungalukk thalaivara kudukkara oru chinna treat (marana kaatt) vere level
Positive 	 Intha age layum act pantriyae anka irukka yaa nee
Positive 	 2:19 - evanda dhanush udambula rajini face morph pannathu.....
Positive 	 Thalaiwaaaaaaa........... Va va va ipo vaangadaww
Negative 	 Enaku mattum than lingaa maari ithu agidumo nu thonutha
Positive 	 Rasichi eduthurukanya. Pazhaya Rajini style & dialogues verithanaman. Padam semma mass ah irukum 🤘
Positive 	 Namma super star ku oru like podu
Positive 	 Ithula vara ovvoru dialogue un enga dala ya pathu solra mathiri iruku
Positive 	 summa likes ,views al luthu pa
Positive 	 Makkal selvan VIJAY SETHUPATHI SEMMA GETHU
Negative 	 Music bgm a big let down not like kaala or kabali
Positive 	 Enna panna poram... Sweet sapda porom
Negative 	 kolla kandulaya irukeran sun tv melaya padathai sekiram release pannu.
Positive 	 43 varudam ivar naarkalii ku aaasaipaadatha aatkal ilaai indru varikum
Positive 	 Peeta parakkk thalivarr marana massss trailer  Kolle ghandle irrke RAJINI ... DAAAA.....
Positive 	 summa marana mass he i am waiting for petta pongal
Positive 	 Aiyooooooo theivameeeeeeeeeeeee tnqqqq karthiik suburaj sir
Positive 	 Thalaivaaaaa. Super style.. love you..I am RAJINIFIED..
Positive 	 Last scene he is looking like nani... Ssrk rocks
Positive 	 thalaivaaaaa suma alluthu evlo nal aachu ipdi ungala screen la parthu karthik subburaj thx broooooooo
Positive 	 That vijay smile... Rajini sir kudos
Negative 	 Iraivi mercury lam kan munnadi vanthuta poguthu
Mixed_feelings 	 Pakka mass!!!!!  But Editing la oru small mistake thalaivar Rajini spelling ah thappa potutingale paaa introduction la
Positive 	 Thalaivar thaan eppovuma king of style....Seema mass trailer....
Positive 	 Thalaivaa..... Love uno words hyo paaaah🤩🤘
Negative 	 Idhula oru Trailer ah thu
Negative 	 Inimae evanavadhu Superstar nu sonneenga.... (Kolai veriyila otukken..  Oodidunga)...
Positive 	 Fghjk dfhjkodd xgklfscjoscj fhkllfss MIND BLOWING
Negative 	 Katthi theme potu vachii irukka 🤣🤣
Negative 	 ivanuku yengeyo macham irukuthu. Veedu Po po, kaadu va va koopitaalum ivar pogamateangararu. Wicked vachi thannai youth ninaikiraro 🤔
Positive 	 Sirapana tharamana sambavangala inemae dha parka pora....for haters......young superstar is back....
Positive 	 Thaliavareee...pote thaalichitinga ponga. Inimellam marana mass than
Positive 	 candle anaiyara scene sollum RAJINI MASS na enanu .... adu thoda evanum porakala .......................
not-Tamil 	 kuch samjh nai aaya pr acha laga
Positive 	 Karthik Subburaj, take a bow man.
Positive 	 Super star always rocks maasu marana maasu
Positive 	 Petta la thalaivar totally different ta irukukaaru acting um thaaan .....sirapu sambhavaM thirkaaka waiting !
Positive 	 Simply supere pu....appu viswasam kusuvasam athan pu...
Positive 	 Anirudh ....is great ......thetaru la BGM therika pokuthu.....rocking star...
Positive 	 entha ,gethu  mass   yarukuda ,varum   thalaivar ku ,mattum athu  sothu மாஸ் காட்டுறதுல கெத்து, DD boys  CH 6
Positive 	 Apo BASHA- Ipo PETTA- Thalaivar Marana Mass
Positive 	 Shivaji ku aprom, ippo thaan Superstar kitta ivalovu mass pakkiran...  Petta paraak
Positive 	 Sathiyam solren adichi andraverda oda vida poren manam ponam en porupilla......mass
Negative 	 Yeanda comment ku likes kettu alayuringe? Antha video likes vantha pothunda alenjanungela
Positive 	 sweet laam pathathu pongale vachiruvom va
Negative 	 ennathu paakurathuku chinnapayana dai ungaluke konjam overa theriyalayada🤔🤔
Positive 	 Stylish trailer njanoru DILEEPETTAN (MALAYALAM ACTOR ) FAN AANU. THAMIYIL  Rajiniye rombba pudikkum
Positive 	 Thalivaaa....................marana mass .  ithu Vera level
Positive 	 Maranam massu maranam.. Thalaivar fans from kerala.. 🤩
Mixed_feelings 	 Ajith fans plss tailer samaya eruku like panunga vj fans marri dislike panathenga
Positive 	 Karthi sir u r made  Thank u  Super star change illa semma style marna mass nadippu
Mixed_feelings 	 Simran Rajini romance scence innum addpaneerukkalam
Positive 	 Ippo namma enna panna porom!!!!!sweet sapada porom!
Positive 	 Trailer sweet main picture ku karumpu taste than thalaiva... Yaarelam thalaivar film wait... Like podunga
Positive 	 Nice nice nice nice nice nice
Positive 	 massukke peruma  da  rajini  enna  pannalum
Positive 	 Last 4 secs Thalaivar walk semma 90s Rajini..
Positive 	 23k dislikes..Vera enna edirpakureenga Da..pure stomach burning
Positive 	 Thala fans make 1million likes தல forever
Negative 	 Rajini tha mass vj ajith lam tusu
Positive 	 Thala sema mass waiting for 1m likes
Positive 	 neraya neraya neraya neraya neraya neraya.
Positive 	 Apadi Elam Nadakadhu Nadaka kodadhu .
Positive 	 Looks similar to ** PINK **
Mixed_feelings 	 Ini Paarunga Two Weeks Munnadi Teaser Release Date Announce Paniruvanga Aparam Evanavathu Naanga Record Breake Panitomnu Varatum Avanukalluku Irukku
Positive 	 Pls guys make it 1m likes....
Negative 	 Guys Intha Fake Id Naalatha Namma Sanda Podram Anthamaari Inga Vanthu Evanavathu Katharuna Thorathi Adipom
Positive 	 1 million views likes kodu varum thala fans support nkp trailer
Positive 	 Thala da ... En uyiraiyum thalakaga koduppen......
Positive 	 Unmaiya thala fana irrutha like poduga
Positive 	 30 million Kondu Varuvon da..thala Bloods...
Positive 	 Thala fanz nu solla enga evanukum thaguthi ila comments pannama yengada poninga
Positive 	 Thala naan erukan unaku every 30 mint ku comments Panna
Mixed_feelings 	 Oruthar mela neenga viswasam katrathukaga innoruthara yen asingam paduthuringa by thala Ithu ovvoru thala and thalapathy fan kum therinjurukanum
Negative 	 Indha video va dislike pannunavan ellarum virundhalikku porandhavannu artham......
Positive 	 Ithua Namma Annanukku Therija Varutha Paduvaru Namma Annavukku Eppavume Nalla Per Vaangi Tharanum So Please Stop Negative Tag
Positive 	 200k like ah podunga thala blood's 1m varaum
Positive 	 Eppadi pa ithukku dislike kodukkareenga.. Thiramai enga irunthalum mathikkanum.. waiting to see on screen
Positive 	 1m likes varanum please alla active
Positive 	 Thala da  Great Thala da
Mixed_feelings 	 Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala
Positive 	 Un mansuku unna yarum asaikka mudiyathu thala
Positive 	 Trailer ah trending list LA thedunavanga laam lyk podunga
Positive 	 Thala Yoda last dialogue sema mass vera leval
Positive 	 mugavri, kandu konten kandu konten Ajith ah meendum npkla pakalam. sema performance thala
Positive 	 Masss Maranna mass Thala  nerkonda parvai mass
Positive 	 6 days la 10m views dhana Waste .......vaipu ella rajq
Positive 	 neraya neraya neraya neraya neraya neraya.
Positive 	 Waiting for 1 million likes
Positive 	 Asai Nayagan kadhal Mannan ultimate star .
Positive 	 en uyire  en theivamay  en kadavulay  Thala nee pallaandu vazlga
Positive 	 500 thadavaiku male nkp trailer ah parthavanga mattum oru like podunga
Positive 	 thannam pikkayin sikaram eppothum enga thala thaan
Positive 	 Thala pola varuma enga thala pola varuma  Thala pola varuma Thala pola varuma
Positive 	 Thala pola varuma  Thala eppavume mass Vera level
Positive 	 Thala yoda dialogue delivery ovvonrum sema mass Vera level  Thala you are great
Positive 	 Condipa hit moviethanu solaravanga  ellarum oru like podunga
Positive 	 ungalal mudintha alavu niraya niraya command pannuga.
Positive 	 Mrg elunthathum bathroom pohama pakravanga like podathinga.. Poi velaya parunga..
Positive 	 neraya neraya neraya neraya neraya neraya
Positive 	 thala naala tharuu maruu malai thandi oyatutaru anga ultimate star ru
Positive 	 Ajith Thalathala nu irukaru nalla gummunu
Positive 	 Dailyum pakkama irukka mdiyala ...Thala 🤗
Positive 	 Daily intha trailer ah pakuravanga ....?
Positive 	 neraya neraya neraya neraya neraya what a powerful voice.
Positive 	 Enna pa 10 m views kai mukkuthu
Positive 	 1 m likes varum solldravangaa like podungaa
Positive 	 Climax Dialogue ku Theatres ellam Therika Pogudhu
Positive 	 Thala fanz lam yenga poniga comments low ah agudu
Positive 	 Waiting 11m views and 800k likes
Positive 	 THALA THALA THALA THALA THALA  THALA THALA  THALA THALA THALA  🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩
Positive 	 Make it 1 million comment guys
Negative 	 Thampi mayilvahanam njan  thala aleda thala edukunavan
Mixed_feelings 	 Thalaya jeika innoruthan poranthu varanum da ... verithanathin utchakattam da...
Positive 	 yuvan nengala manusana ennaaaaa adi therinkka vittinga ponga 🥰🤩
Positive 	 Morning elunthathum thalaya tharsikkiravanga like podunga
Positive 	 Ipdiii Nerya nerya nerya nerya 🤘
Positive 	 Dai pink film remake ah idhu
Positive 	 Trending vittu evloo kila ponaalum  Na daily papan comment la msg panuvan.
Positive 	 Enada ithu thalai ku vantha sothana innum 10 million views aa thandala
Positive 	 780k likes Waiting for 1 Million like
Positive 	 Trailer 1million like varalanu yaarellam feel panringa
Positive 	 ivanuku nadikave varathu...intha padam oduna mathiri than...en da comedy pandringa...build up kuduthu kuduthe onnum illama aakidunga...
Positive 	 Ummmmmmmaaa thala....... no words to say dear role model....
Positive 	 neraya neraya neraya neraya neraya neraya what a voice semma.
Positive 	 yeserday no 2 treanding srilanka today no 5 #thala
Positive 	 dailum vanthu thalaya pathutu poravanga Hit like ...
Negative 	 Unga nalla manasuku epayum vettri than THALA ungaluku. phinix  bird thala nenga vizhamattinga
Positive 	 Ippa 10.4 LA iruku andha 10.5 mathi vitu polama thala bloods
Positive 	 6 days ah srilanka la trending 4 kulla thaan itukku
not-Tamil 	 Kya yaar koi aur kahani nhi mili thi, already is kahani pe film pink bn chuki h
Positive 	 2m varanum ethachum annuga thala fans
Positive 	 Thala  naa Getthu Getthu naa Thala
Positive 	 neraya neraya neraya neraya neraya neraya Vera level .
Positive 	 Thala ajith nerkonda paarvai awesome verra level
Positive 	 Attention THALA fans ........INDHA padam BLOCK BUSTER AAguradhukkuu neega dhaan THEATer Ku poooi THALAi Ku  PERIYA flex(katout) VAIKANUMMM
Negative 	 Thala fans ungalala oru mairukkum pidunga mudiyathuu
Positive 	 Enna da dai 10 laks thala fans kuda YouTube use pannalaya...1million like varala
Negative 	 Inniki 10.5 million views reach panlama pangalingala adichi thookalamaa
Positive 	 Let's make it 1 million likes..
Positive 	 Trending 11 la irukku adhuthu yenka irukkumo theriyala thala fans support pannukaa trending kondu vangaa plse
Positive 	 Thala Thala Thala Thala Naraiya Naraiya Naraiya Naraiya  Pidikkum
Positive 	 780k likes on d way
Positive 	 En thalaivana pola yarum illadaa en thala Rasigarkal hit like
Positive 	 All thala fans like pottingla ?
Positive 	 Thala king, getha vaa thala un rasikargal irukkanga
Negative 	 Indha padathukku  dislike poduravanga Manisa jenmamay illa
Positive 	 Copy ethu Remake ethunu innum pala perukku theriyave maattenguthu 🤦‍🤦‍🤦‍
Positive 	 Thala Thala Tamil naatuku ore Thala🤩
Positive 	 6 days after coming fans 6:01    PM
Positive 	 Thala mass dialogue u r great
Positive 	 Mairu ku Aamiayans 800k likes kuda vanga vakkuilla naigala
Positive 	 neraya neraya neraya neraya neraya neraya what a powerful performance.
Positive 	 Thala acting is intense nkp Vera level.
Positive 	 Appadi Ellam nadakaadh... Nadakka koodathu. THALA Love from kerala
Positive 	 Unnathamana  characterukku arumaiyaka thannnudaiya unarchikalai velipaduthiya engal mr. ajith sirkku mikka nandri
Positive 	 Like - NKP Comment - Vijay 63
Positive 	 Like - Ner konda paarvai Comment - Pink
Positive 	 Thala + Yuvan = Vera level
Mixed_feelings 	 1m likes kooda oomba mudila   Fan base matter
Mixed_feelings 	 Oru thar Mela viswasam kaddurathukka ka enni oru thaingaala eathukku Asikingaa padduthiringaa ...#Nkp
Positive 	 i big fan of u ajith sir
Positive 	 தல  vera level and U1 Bgm also
Mixed_feelings 	 Citizen , Nerkonda Paarvai  Samukathuku Eatra Padam   Thalapathy Fans
Positive 	 Thala sonna kadaisi doigue  athu thala fanuku sonna mari irukuthu sema
Positive 	 Only one ask for you all Tala pola varuma Talada
Positive 	 Thala naale thaaru maaru thaa..... ultimate star Ajith Kumar வாழ்க!
Positive 	 Excellent film, last dialogue vera level
Positive 	 Thala mass waiting for nerkondaparvai..  Aug 10
Mixed_feelings 	 Dislike pannunavanla trailor ku pannala thala ku pannirukkanunga
Positive 	 Viswasam super movie next this movie thala fans like
Positive 	 Hindi movie Pink remake in Tamil...
Mixed_feelings 	 Jhonvi kapoora nadikka vachurukkalam.miss you jhonvi
Positive 	 Etha vida engaluku ena venum...ne va Thala
Mixed_feelings 	 last dialogue rasikan sollituthiriyira ella heroes fansukumdan inimelade?
Negative 	 Yen da na comment pana mattum evanum reply panamatringa?
Mixed_feelings 	 Waiting ...ne va thala.....sila nayigal kuraikkathan seiyum
Positive 	 orutharu mela vacha viswasathala innoruthara ye asinga paduthiringa. fight scene semmaiya irukum
Positive 	 Thala Fans from kerala.. Like here
Positive 	 15 hours 5 million views thala maaaaaaaasssssssssssss🤣
Positive 	 Thala ajith kumar Yuvan shankar raja H. Vinond Uff
Positive 	 Thala niga vera level love u
Mixed_feelings 	 Dislike potta mutta muthevingaluku than thalayoda last dialogue...  Oruthan mela viswasam katta innoruthara enn asinga paduthireenga
Mixed_feelings 	 No trending yet in Srilanka
Mixed_feelings 	 Thala(Vinoth) neenga thirumbiyum vanthuteengala!!! Athuvum enga real THALAyoda Appo waitana treattu kaathuttu irukku engalukku
Negative 	 To haters in Lollu sabha style : Arivu ketta eruma maadu
Positive 	 #Thala mass da Padam vetri pera #Thalabathy rasiganin valthukkal
Positive 	 Note:Oru oru second kum oru comment varuthu
Positive 	 Oruthar mela vishvasam kaaturathikaaga innoruthara en asinga paduthuringa.. superb dialogue.. hope fans understand..
Negative 	 Veengai mavan othaila nikka gotha dhillu kuthi irundha mothama vaanga daa  () ...Aaamaiz daa..
Positive 	 Thala always massss ayyyoooo yana acting
Mixed_feelings 	 Malayalam movie chinthamani kolacase njapakathukku varuth
Positive 	 Thala fans idhu pathadhu, innum neraya neraya neraya venum!!!
Positive 	 Thala + U1 combo...vere level daa...
Positive 	 I am Vijay fan but I am waiting for nerkonda parvai
Mixed_feelings 	 Ellam avan seyal movie matheri iruku
Positive 	 Fight scene sema masss ah irukum
Positive 	 Thala nenga vethalam & veram maripadam yedunga thala
Positive 	 Padam confirm big hit thala padamnale hittu dhan
Mixed_feelings 	 Oruthar meala neenga viswasam katrathukaga inoruthara yen asinga paduthiringa ,,,,,,,,,puritha guys purinjavanga like panunga but sema mass
Negative 	 Enna da mokkaya iruku  perusa yethir patha
Positive 	 1 million likes varumnu solravanga  podunga
Positive 	 A girl says No it means no.....
Positive 	 Declining Thala  #From Pa Ranjith fans #Karnataka
Positive 	 Thala nee vaa thala , padam inimey yengaluthu
Mixed_feelings 	 Dei fans baadungala,indha maadhri padatha hit pannunga da,inimel aachi.
Positive 	 Thala veriyanz only hit like
Positive 	 Ethooo thalai yea puthusa pakkura mathire irukuuu
Mixed_feelings 	 Idhu padam, adha vitutu viswasam,vivegam nu.
Mixed_feelings 	 Unlike potavalam matamana social luku theva padatha character avanunga thalapathi fans Ila poruki fans
Positive 	 Virgin pasanga ellam oru like ah podungo
Positive 	 Vera level thala vera level yuvanisim
Positive 	 Marana mass thala na thala tha
Mixed_feelings 	 Ada paavigala Hindi PINK movie ah apdiye copy cat ah? Why did you do like this ?
unknown_state 	 Mr.vandu kort la ipdilaam kaththa kudathu
Positive 	 Vera lavel thala lawyer getap semma masss ha irukku thalaiku
Positive 	 Climax music kekkumpodhu appdiye goosebumps start aagudhu.... thanks Yuvan Annnnnnnnnnnnnna
unknown_state 	 Orutharu mela neenga vishvasatha kamikaruthukaga innoruthara yen asingapadithuringa ( 50k ) dislike
Positive 	 Yaaahoooooo 5 million views  luv u thala fanz
Positive 	 Remake of pinkyy butt i love you both amit ji n ajith ji
Positive 	 Super  thala massss mass  massss
Mixed_feelings 	 Similar to Chinthamani kola case? Malayalam movie remake?
Positive 	 Ennada ithu pakka pakka pathuttey irukkanmnu thonutu
Mixed_feelings 	 Onnum soltrathukku illa .... Thala Vera levalmass performance
Positive 	 varanam massu varanam aadhuku thala dhan screen la varanam
Positive 	 REMAKE OF HINDI MOVIE PINK . AJITH IS DOING AMITABH'S ROLE.
Positive 	 24 hrs la 1M likes & 10M vivews varumnu solaravanga mattum like podunga
Positive 	 Maranam.maasu maranam athukkula namma thala tahn screen la varanum
Positive 	 Waiting for #1million  like s🤩
Positive 	 Pink movie ... hit in bollywood...
Positive 	 Thala look maranam  Yuvan bgm
Mixed_feelings 	 Nerkonda paarvai Mix with Viswasam BGM
Positive 	 Ajith fans lam like ah norukungo.....
Mixed_feelings 	 All you dislikes person's last dialog for you mad people's
Negative 	 Mokka pundaiyaatum irukku teaser...floppu daa umbigala.
Mixed_feelings 	 Nice trilar. Oruthar mela viswasam katrathukaga, mathavangala en asingam paduthuringa.
Positive 	 10 times ku Mela trailer ah paathavan lam like podu 🤗🤗
Positive 	 seems like pink dubbed.. but ajith sir mass
Positive 	 1.5M likes varumna like pannuga
Positive 	 Thala I love u thala na romba pudikkum🤩
Mixed_feelings 	 Nerkonda paarvai mix with Kolaikaaran BGM
Negative 	 Tala Potta thevidiya mavanda Baduganla aamigala
Positive 	 No.1 trending....yellarum idha thana ketutu irundhinga
Positive 	 KING OF KOLLYWOOD  Thala AjithKumar Is Back!!...
Positive 	 Vera lvl bro!..   Ajith fans hit like!!...
Mixed_feelings 	 Oruthar mela viswasam kaaturatgukku innoruthara yen asinga paduthuringa...
Positive 	 Awesome performance ajith ji , Padam super hit ji , sure
Negative 	 Dis like pottha potta pasangala nigala nallave irukka mathynga by thalabathi veriyan
Positive 	 Thalaya classah pakka evalo nalla irukkula.....paathutey irukalam
Positive 	 Morning enthericha odane trailer pakravaga like poduga
Positive 	 thala vera level in ner konda paarvai
Mixed_feelings 	 Naamattum thaan 2 dhadavaiku mela paarthena
Positive 	 At least 1m likes in 24hrs
Mixed_feelings 	 Amithabachan alavukku ajith ku vayasana mari kattirukkanga bullshut
Positive 	 Thoongi Enthiracha vudane evlo million views nu paka vanthavanga like podunga....
Positive 	 Intha padampothu thalaya asaikka kooda mudiyathu
Positive 	 U1 tharamana sambavam aug 10 apa papinga
Positive 	 Trailer vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera level
unknown_state 	 I love Akki so much
Positive 	 2,,0. Vasikaran. Wow baties Semaeami
Positive 	 Anils ku vairu eriuthu pola
Positive 	 Super Shankar Sir Rajanikanth Sir All The Best Movie Team Waiting Movie From Pawankalyan Fans
Positive 	 Hollywood padam paakaravaga endha padadha impress pannadhu ninaikukiraen
Positive 	 Shankar sir ungaloda imagination Vera level.. but  CG Ok than
Positive 	 Mass .... Super Star Rajini sir
Negative 	 Kis Kis ko vfx bekar lage like thoko
Negative 	 Naa vanthu   malayali  enkall nattile million fans irukku rajini annaniku super trrailer
Negative 	 yennada transformers 4 padathula vara mathiri irukkum pola..(transformation)
Positive 	 Super ster vera level sankar bast moves
Positive 	 1st day 1 show booked
not-Tamil 	 hindi me kab aayega ab wait nhi ho rha h
Positive 	 Vera level  Thalaiva and master Shankar
not-Tamil 	 I was just waiting for it Wah kya baat hai bhai
Negative 	 padam kevalama irukum.... epavum thala dhan..  .
Negative 	 2.0 padam parka sema aarvama iruku I'm waiting for 2.0
Mixed_feelings 	 Jai power star pavan kalyan jai janasena
not-Tamil 	 Hahaah.. Doremon thara ide.. motu patlu better
Positive 	 i phone vs android nu ninaikiren
not-Tamil 	 International level ka film hai..Jisne dislike kiya hai woh Indian cinema ka dushman hai
Negative 	 Wow comment padhne walo aa jao
Positive 	 awesome trailer Hollywood movie maathiri irukku
Positive 	 Paaaaaaaaaaaaa paaaaaaaaaaaaa paaaaaaaaaaa paaaaaaaaaaa........ woooooooooooow wooooooooooow woooooooooooooow woooooooooooow woooooooooow
Negative 	 inna da panni vechi iruking :( :( :(
Mixed_feelings 	 Zero is quite better than 2.0
Mixed_feelings 	 Not in hindi.... Sobi don't understand.... But it is outstanding
Negative 	 Pakkaa Mass.. Rajni and Akshay sema mirattal..
Positive 	 Teaser mokka nu kalaicha pasangalam ippo ennada soldringa. Shankar always mass
Negative 	 Karnataka naaye vaazhuda tamilan pootta pichayela
not-Tamil 	 shankar bhai ko salam karta hu
Mixed_feelings 	 Akshay Kumar new trailer Kadak look
Negative 	 Which do you like? 0 0r 2.0...
Positive 	 Pichi peacs superb #Rajani and #Sankar like  HERE
Positive 	 Super thalaivaaaa awesome  awesome  awesome
Positive 	 khatarnak  awesome  i  love it
Positive 	 Rajni turn into akki in last
Positive 	 If u like trailer then like
Positive 	 Sankar sir love yu sir  #Flimsy Media #FlimsyMedia
Positive 	 blockbuster but not as like bahubali 2
Mixed_feelings 	 Vara level sathyamaaaaaaa.....indian cinemaaa vera level
not-Tamil 	 ಅಕ್ಷಯ್ ಕುಮಾರ್ ಅವರು ಭಾರತದ ರಿಯಲ್ ಸೂಪರ್ಸ್ಟಾರ್... ನಾನು ಅವರ ಯೂಮ್ಬ ದೊಡ್ಡ ಅಭಿಮಾನಿ..!
not-Tamil 	 Virat kohli fans tap here
not-Tamil 	 Rajinikanth  and. Akshay kumar fans.    Like vesukondi  ekada
Positive 	 very hard work... waiting full movie 2.0
Mixed_feelings 	 Shankar innu pannirukalam nu sonnavanlam  go bark where CGI sucks‍‍.. idhu namma sarkar(shankar)
Positive 	 vera level ippa pesungada mokka nu thalaivaaaaaa
Negative 	 All Set To Be On Fire
not-Tamil 	 Bahubaali is dead 2.0 is killer
Positive 	 O.42 sec la mbl uh vachhi akahay kumar veraa level...dir shankar done massive
Positive 	 1.8k dislikes.. haha vairuna eriyathana seium....
Negative 	 Sorry! Mr.sankar vfx ivlo kevalama irukku ithuku yean ivlo naal time eduthukitinga
Negative 	 Kollywood Nahi ... Hollywood bolo ... Vera level Shankar sir .... Thalaivaaaaaaaaaaaa ... But akkis voice sounds awkward ....
Negative 	 Trailer romba superaaayirikk super rajani sir   #FlimsyMedia #FlimsyMedia #FlimsyMedia
not-Tamil 	 Tamil nhi samjh aayi but Akshay tere liye kuch bhi....
not-Tamil 	 Bro enna bro ithu sema ge
Mixed_feelings 	 Shankar sir oda effort kaaga oru like pottutu poanga pa..
Mixed_feelings 	 Twinkle twinkle little star.  Rajini is the superstar.  Dhoooollllmmmaaaaaaaa how is it. Superuuu
Mixed_feelings 	 Karumam... Indha VFX'kaga thaan ivlo naal uruvittu irundhanungala?
Positive 	 Mass hit 2.0. Hit like if you like Akshay's look
not-Tamil 	 Hindi me trailer kha pe h plz tell me
Negative 	 Ada kodumaiyae bomma padama ithuku edhu 2.o.......kochadaiyan 2 nu vechurukalam
unknown_state 	 Any Malayalies   Rajani Sir Hit like Here
Positive 	 chinna pulla thanamaala irukku graphics! XD XD
Negative 	 Thalaiva ungalku vayasu ellam kidayathu your your the king of tamil cinema
Positive 	 all time super star rajinikanth sir
Positive 	 Wow bangam  sema mass  Indian cinima pride
Positive 	 Hindi fan but still here hit like
Positive 	 Semma sankar sir I love rajini
Positive 	 Hit like for  rajini sir  fan
Negative 	 Isse 1000000 times better h zero ka trailer
Negative 	 Story la attraction kammi ah irukuramathiri irukeaaa
Negative 	 Oru reality kedaikala VFX not good
Positive 	 Rajni is back to bang Again
Mixed_feelings 	 Bhai mubarak ho 1 Million subscriber
Positive 	 Intha budgetku oru tharamana animated film eduthurukalam
Positive 	 2. 0  movie fans Like button Like now
Negative 	 Mokkaa graphics idhukaa da evlo nall waitinguu
Negative 	 God of Indian Cinema Super Star RAJINIKANTH.... Thalaivaaaaaaaaaaa.... MaraNa BangaM....  Inimel Hollywood'ke Nama Dha Level....
not-Tamil 	 Mobile chor bna dala akki ko
not-Tamil 	 Hollywood padathai paarthu kollywood pottukkitta soodu ithu
Negative 	 I will set ur screens on
Positive 	 Ak looking amazing super looking suppperrr..
Mixed_feelings 	 Shanker sir hard work keeps tamilan in  international stage.. superb...
Negative 	 Dub k like te dub  k support
