mmsi,imo,call_sign,width,avg_length,stddev_length,unique_values_length,avg_gross_tonnage,stddev_gross_tonnage,unique_values_tonnage,dead_weight,source,flag_state,last_active_date,vessel_name,former_name,change_date
616852000,8300949,D6FJ2,13,84.51,0,1,2028,0,1,2458,encounters,Comoros,12/23/16,GABU REEFER,,
273430160,8520563,UHCL,13,82.9,0,1,1787,0,1,1800,encounters,Russia,12/9/16,RUSTICA,,
273148810,7808334,UIVG,13,95.61,0,1,2206,0,1,3098,encounters,Russia,12/23/16,BELOMORYE,,
273818000,9125920,UCBY,13,85.06,0,1,2392,0,1,1235,ITU,Russia,12/20/16,DIONA,,
273815000,8881357,UAKG,13,85.06,0,1,2489,0,1,1061,ITU,Russia,12/23/16,VLAD ORION,,
273449510,8842533,UHYG,13,85,0,1,2342,0,1,901,ITU,Russia,12/23/16,GEOLOG PECHKUROV,,
273253100,8826577,UFVR,13,85.1,0,1,2461,0,1,1169,ITU,Russia,12/23/16,KRONSHTADTSKIY,,
376715000,8838544,J8B5140,13,85,0,1,2342,0,1,901,ITU,Saint Vincent Grenadines,12/19/16,TAVR,TAVR,10/11/13
272554000,8838544,UUM6,13,85,0,1,2342,0,1,901,encounters,Ukraine,10/11/13,TAVR,,
273358510,8216198,UAID,14,91.85,0,1,2618,0,1,2725,CLAV,Russia,11/27/16,SIERRA,,
354670000,8221947,HOFG,14,79.77,0,1,2047,0,1,2085,CLAV,Panama,4/11/13,SHEN XING,SUN FU FA,11/9/12
576277000,9186936,YJQA5,14,95.92,0,1,2781,0,1,2920,CLAV,Vanuatu,12/23/16,SHIN IZU,,
355665576,8011029,H8TO,14,90,0,1,2453,0,1,3077,CLAV,Panama,11/28/14,DA PING 1,DA PING 1,7/29/13
538002960,9170963,V7NH7,14,95.95,0,1,2782,0,1,2937,CLAV,Marshall Islands,12/8/16,AMAGI,,
567266000,7637565,HSB3066,14,101.93,0,1,2989,0,1,3550,CLAV,Thailand,12/5/16,NEW STREAM,,
529089000,9220653,3FRF9,14,95.2,0,1,2495,0,1,3000,FFA,Kiribati,7/17/15,SHIN HO CHUN NO.101,,
567046600,7804900,HSBX,14,101.26,0,1,2966,0,1,3514,FFA,Thailand,4/9/16,SILVER SEA LINE,,
567046600,7804900,HSBX,14,101.26,0,1,2966,0,1,3514,encounters,Thailand,1/2/17,ASIAN MARINE REEFER 2,SILVER SEA LINE,4/9/16
548335100,7916791,4DEE2,14,87.25,0,1,2462,0,1,2992,FFA,Philippines,12/8/16,DOLLY 798,DOLLY 798,10/28/15
352360000,7916791,4DEE3,14,87.25,0,1,2462,0,1,2992,encounters,Panama,10/28/15,DOLLY 798,,
374048000,9220653,3FRF9,14,95,0,1,2495,0,1,3000,encounters,Panama,12/24/16,SHIN HO CHUN NO.101,SHIN HO CHUN NO.101,7/17/15
214182223,7719595,ERVW,14,100.62,0,1,2754,0,1,3062,encounters,Moldova,9/2/16,AQUAMARINE,AQUAMARINE,1/27/14
511388000,7719595,T8A2463,14,100.62,0,1,2754,0,1,3062,encounters,Palau,9/12/16,AQUAMARINE,AQUAMARINE,9/2/06
341092000,7719595,V4DO,14,100.62,0,1,2754,0,1,3062,CSIRO,Saint Kitts Nevis,1/27/14,AQUAMARINE,,
529346000,8604967,T3XH,14,94.71,0,1,2525,0,1,2800,encounters,Kiribati,12/18/16,FULL KUO SHIN,,
273815050,8033857,UHWS,14,95.28,0,1,2673,0,1,1880,encounters,Russia,11/15/16,KOMSOMOLIYA KALININGRADA,,
273814050,8226973,UHWR,14,95.28,0,1,2673,0,1,1880,encounters,Russia,12/10/16,OZERSK,,
440283000,9172909,D8DK,15,91,0,1,2713,0,1,3046,CLAV,Korea,11/28/16,SEIYU,YU HSAING MARU,1/28/15
576420000,9140097,YJQE9,15,91.48,0,1,2717,0,1,3050,CLAV,Vanuatu,12/11/15,VICTORIA,,
567231000,7637589,HSB2993,15,101.93,0,1,2989,0,1,2510,CLAV,Thailand,1/20/16,SILVER SEA LINE 3,,
576626000,9054858,YJQL2,15,94,0,1,2707,0,1,3953,CLAV,Vanuatu,7/19/12,HATSUKARI,,
576687000,9105293,YJQJ8,15,88.94,0,1,2581,0,1,2396,CLAV,Vanuatu,1/31/16,FUTAGAMI,,
577161000,9684067,YJTH9,15,96.94,0,1,3350,0,1,3356,CLAV,Vanuatu,12/1/16,HSAING FU,,
441418000,9684067,YJTH9,15,96.94,0,1,3350,0,1,3356,CSIRO,Korea,12/20/16,HSIANG FU,HSAING FU,12/1/16
627084000,9140102,9GRG,15,91,0,1,2716,0,1,3043,CLAV,Ghana,1/1/17,VOLTA VICTORY,VOLTA VICT,5/5/15
529120000,7302299,T3MY,15,104.3,0,1,2910,0,1,3597,FFA,Kiribati,12/19/16,WIN UNI,WIN UNI,4/11/13
412946000,8317409,BIUA,15,86.33,0,1,2340,0,1,2326,FFA,China,12/24/16,KAI YUAN,,
273219900,7604403,UHTA,15,69.5,0,1,1966,0,1,855,encounters,Russia,12/5/16,ARCTIC PRINCESS,,
273442740,8313879,UDVM,15,94.87,0,1,3226,0,1,2397,encounters,Russia,12/22/16,BUKHTA NAGAEVA,,
273342230,8513273,UBCG5,15,95.31,0,1,2913,0,1,2686,encounters,Russia,12/15/16,AMBER BALTIC,,
273367690,8404575,UBGM2,15,95,0,1,3219,0,1,2349,ITU,Russia,12/18/16,TORNADO,FAST,9/28/13
306126000,7802419,PJOJ,15,83.39,0,1,2595,0,1,2854,ITU,Curacao,12/24/16,JOINT FROST,,
273828310,8225503,UEEC,15,101.89,0,1,4014,0,1,2244,ITU,Russia,12/23/16,ASTRONOM,,
273385120,8810190,UBZN7,15,99,0,1,3351,0,1,3202,ITU,Russia,12/28/16,URGULL,URGULL,10/1/15
334533000,8810190,HQWX4,15,99,0,1,3351,0,1,3202,encounters,Honduras,10/1/15,URGULL,,
374723000,9161613,HOAZ,15,86.09,0,1,2713,0,1,3051,ITU,Panama,12/21/16,YUN RUN 3,YUN RUN 3,2/24/16
341838000,8210259,V4ET3,16,92,0,1,3246,0,1,3945,CLAV,Saint Kitts Nevis,12/21/16,RANGIROA,RANGIROA,10/10/13
354036000,7812098,3FUT6,16,94.5,0,1,3649,0,1,4395,CLAV,Panama,12/24/16,PLATTE REEFER,,
576276000,9140281,YJQA4,16,99.5,0,1,3822,0,1,3966,CLAV,Vanuatu,4/9/16,SHIN FUJI,,
374906000,9140281,HPEF,16,99.5,0,1,3822,0,1,3966,encounters,Panama,0106-12-22,SHIN FUJI,SHIN FUJI,4/9/16
576414009,9128764,YJQE5,16,94,0,1,3496,0,1,3959,CLAV,Vanuatu,12/20/14,TENHO MARU,,
576414000,9128764,YJQE5,16,94,0,1,3496,0,1,3959,CLAV,Vanuatu,4/10/16,TENHO MARU,TENHO MARU,12/20/14
277099000,8506737,LYKM,16,112,0,1,3999,0,1,5002,CLAV,Lithuania,4/19/13,ARGO,,
277247000,8818893,LYOT,16,106.03,0,1,3939,0,1,7250,CLAV,Lithuania,5/23/12,MARSAS,,
677047700,8818893,5IM577,16,106.03,0,1,3939,0,1,7250,encounters,Tanzania,12/24/16,AMINA H,MARSAS,5/23/12
354464000,9575369,3FNR5,16,96,0,1,2962,0,1,5500,CLAV,Panama,12/24/16,KAKUYO 5,ZHONG HUI,3/28/15
372661000,9575369,_3FGK6,16,96,0,1,2962,0,1,5500,encounters,Panama,3/28/15,ZHONG HUI,,
244790145,9085479,PDKK,16,126.29,0,1,5471,0,1,7480,CLAV,Netherlands,12/14/16,COOL EXPRESO,COOL EXPRESO,11/14/14
306509000,8812796,PJJH,16,105.35,0,1,4190,0,1,4468,CLAV,Curacao,8/23/16,ARUBA,,
273395480,8812796,UCFB,16,105.35,0,1,4190,0,1,4468,encounters,Russia,12/20/16,ATLANTICA,ARUBA,8/23/16
529087000,8028955,T3LP,16,99.02,0,1,3363,0,1,5009,CLAV,Kiribati,7/21/15,LAKE HILL,,
245409000,9127928,PGQI,16,133.92,0,1,5918,0,1,8500,CLAV,Netherlands,6/5/15,PACIFIC,,
576419000,9071583,YJQE8,16,106.86,0,1,3802,0,1,4211,CLAV,Vanuatu,9/15/15,MEITA MARU,,
352844000,8512920,3EFC4,16,85.75,0,1,3264,0,1,3970,FFA,Panama,12/24/16,JACHA,,
355141000,8323599,3FEJ5,16,93.88,0,1,2829,0,1,3984,FFA,Panama,12/24/16,YUNG DA FA 102,,
370981000,8223488,HOYH,16,84.64,0,1,1490,0,1,3395,FFA,Panama,12/14/16,ANGEL I,,
441725000,8312461,HOFG,16,110.03,0,1,4071,0,1,5563,FFA,Korea,4/3/16,SEIN OCEAN,,
529052000,7908770,T3KB,16,99.59,0,1,3493,0,1,3971,FFA,Kiribati,6/19/16,FORTUNA REEFER,,
370890000,7908770,3EVW4,16,99.59,0,1,3493,0,1,3971,encounters,Panama,12/23/16,FORTUNA REEFER,FORTUNA REEFER,6/19/16
353937000,8204121,3FMK4,16,92.21,0,1,3260,0,1,3917,FFA,Panama,12/24/16,SANWA FONTAINE,,
356591000,7810571,3FWH6,16,122.46,0,1,4177,0,1,4360,FFA,Panama,12/9/16,WIN SHENG,,
412322280,8217116,BBQR,16,92.23,0,1,3260,0,1,3901,FFA,China,12/8/16,TAI NING,,
412322340,8210273,BCIO,16,91.5,0,1,3218,0,1,5956,FFA,China,7/17/11,TAI XING,,
529445000,8210273,T3AL2,16,91.5,0,1,3218,0,1,5956,encounters,Kiribati,1/31/15,TAI XING,TAI XING,7/17/11
371565000,8210273,3EZQ5,16,91.5,0,1,3218,0,1,5956,encounters,Panama,12/8/16,TAI XING,TAI XING,1/31/15
355874000,8221595,3FPM2,16,91.41,0,1,3520,0,1,4192,FFA,Panama,12/17/16,JONATHON ACE,,
440116000,8603121,D7MG,16,96.78,0,1,3437,0,1,4269,FFA,Korea,12/17/16,SALT LAKE,,
529101000,7908732,T3MD,16,99.99,0,1,3415,0,1,3853,FFA,Kiribati,12/20/16,HUA JIAN 1,,
529268000,7929762,T3UC,16,112.9,0,1,4056,0,1,4275,FFA,Kiribati,12/7/16,HUA JIAN 109,,
529382000,8914221,T3YU,16,120.2,0,1,4574,0,1,5470,FFA,Kiribati,8/21/15,SEA STAR,,
372210000,8914221,3EYI5,16,120.2,0,1,4574,0,1,5470,encounters,Panama,12/8/16,SEA STAR V,SEA STAR,8/21/15
371790000,8421286,H3XA,16,107.96,0,1,4202,0,1,4278,FFA,Panama,12/25/16,KAI DE,,
372594000,8319055,3EJQ3,16,109,0,1,4364,0,1,5522,FFA,Panama,12/25/16,EURO STAR,,
441759000,8415859,DSQY9,16,109,0,1,4428,0,1,5438,FFA,Korea,12/26/15,SEIN SUN,,
529567000,9003756,T3FN2,16,116.2,0,1,4287,0,1,5181,FFA,Kiribati,12/26/16,YUN RUN,,
353451000,9003756,HPGU,16,116.2,0,1,4287,0,1,5181,encounters,Panama,1/29/13,NEW HAYATSUKI,,
577314000,8919893,YJUM3,16,120,0,1,4574,0,1,5517,FFA,Vanuatu,2/6/15,SEA TRADER,,
371719000,8319031,3FIO6,16,93.71,0,1,3170,0,1,3827,encounters,Panama,12/24/16,DAFENG MARINER,,
273353310,7809106,UBMZ,16,122.76,0,1,4495,0,1,5215,encounters,Russia,12/8/16,NADEZHDA,,
311004000,9043055,C6VY2,16,135.7,0,1,5103,0,1,6105,encounters,Bahamas,12/26/16,GREEN MAVERIC,,
273324210,8223464,UFOR,16,99.01,0,1,3526,0,1,4156,encounters,Russia,12/7/16,ARCTIC,ARCTIC,10/10/13
353709000,8223463,3FXC8,16,99.01,0,1,3526,0,1,4156,encounters,Panama,10/10/13,ARCTIC,,
636017161,9071583,D5JO8,16,106.86,0,1,3802,0,1,4211,encounters,Liberia,12/24/16,MEITA MARU,MEITA MARU,9/15/15
730151013,8513869,HKJC7,16,92.23,0,1,3264,0,1,3944,encounters,Colombia,12/24/16,ORION S,ORION S,10/9/13
354667000,8513869,3FTH4,16,92.23,0,1,3264,0,1,3944,encounters,Panama,10/9/13,ORION S,,
273316230,8518895,UBWH,16,105.23,0,1,3634,0,1,4200,encounters,Russia,12/25/16,BALYUZEK,,
273358410,8210247,UHJK,16,92.23,0,1,3235,0,1,3930,encounters,Russia,11/23/16,BUKHTA ASACHA,,
311000433,8400050,C6CC5,16,95.51,0,1,3968,0,1,2607,ITU,Bahamas,12/26/16,SILVER PEARL,NORDJARL,8/10/15
231766000,8400050,OZ2096,16,95.51,0,1,3968,0,1,2607,encounters,Faroe Islands,8/10/15,NORDJARL,,
311411000,8412699,C6SO4,16,85.93,0,1,3399,0,1,2900,ITU,Bahamas,12/26/16,SAMSKIP ICE,GREEN ICE,8/21/16
311411000,8412699,C6SO4,16,85.93,0,1,3399,0,1,2900,encounters,Bahamas,8/21/16,GREEN ICE,,
374831000,8312461,HOFG,16,110,0,1,4071,0,1,5563,ITU,Panama,12/13/16,ISLAND REEFER,SEIN OCEAN,4/3/16
311367000,8412687,C6SK3,16,85.93,0,1,3398,0,1,2979,ITU,Bahamas,12/26/16,GREEN FROST,,
352199000,8919893,HODS,16,120,0,1,4574,0,1,5517,ITU,Panama,12/8/16,SEA TRADER,SEA TRADER,2/6/15
374611000,8028955,3EYA7,16,99.02,0,1,3363,0,1,5009,ITU,Panama,12/23/16,LAKE HILL 7,LAKE HILL,7/23/15
212857000,9140970,P3MG8,16,98.3,0,1,3817,0,1,4000,ITU,Cyprus,12/26/16,BELBEK,,
308228000,9001916,C6VY8,16,108.22,0,1,4091,0,1,5416,ITU,Bahamas,12/26/16,GREEN OCEAN,,
309165000,9001904,C6VY9,16,108.22,0,1,4091,0,1,5416,ITU,Bahamas,12/26/16,GREEN KLIPPER,,
212856000,9140968,P3MF8,16,97.6,0,1,3817,0,1,4000,ITU,Cyprus,12/26/16,ALMA,,
355966000,9126261,3FTG5,17,120.75,0,1,4458,0,1,5537,CLAV,Panama,12/26/16,JOCHOH,,
576270000,9293313,YJVY7,17,113.37,0,1,4521,0,1,5020,CLAV,Vanuatu,11/21/15,HIKARI 1,,
353242000,9048603,3FGA8,17,94.32,0,1,3431,0,1,3952,CLAV,Panama,8/9/12,LUNG YUIN,,
576728000,9048603,YJQP3,17,94.32,0,1,3431,0,1,3952,CLAV,Vanuatu,12/14/16,LUNG YUIN,LUNG YUIN,8/9/12
576732000,9194892,YJQP4,17,100.98,0,1,3936,0,1,4250,CLAV,Vanuatu,6/14/16,SHOTA MARU,,
636017359,9194892,D5KN7,17,100.98,0,1,3936,0,1,4250,encounters,Liberia,12/20/16,SHOTA MARU,SHOTA MARU,6/14/16
577077000,9459591,YJRZ2,17,98.28,0,1,3858,0,1,4393,CLAV,Vanuatu,2/8/16,TAIHO MARU,,
577082000,8223311,YJRZ7,17,107.88,0,1,4394,0,1,4942,CLAV,Vanuatu,12/24/16,TALOFA,,
255802850,9150470,CSMR,17,100.6,0,1,3981,0,1,5003,CLAV,Portugal,12/24/16,LAGOA,,
355199000,9142289,3FYM4,17,100.72,0,1,3767,0,1,4241,CLAV,Panama,12/20/16,SALGIR,,
352241000,9314612,H3CN,17,120.75,0,1,4522,0,1,4909,FFA,Panama,12/26/16,TUNA PRINCESS,TUNA PRINCESS,4/4/15
538002899,9087910,D7PK,17,120.75,0,1,4490,0,1,5127,FFA,Marshall Islands,10/9/13,PHAROSTAR,,
357058000,9227601,3FWC9,17,120.75,0,1,4513,0,1,5437,FFA,Panama,12/26/16,NO.2 POHAH,,
440523000,8204597,DSOC6,17,118.92,0,1,5122,0,1,6434,FFA,Korea,12/7/16,LAKE GLORY,,
577324000,9008639,YJUT4,17,120.7,0,1,4430,0,1,5134,FFA,Vanuatu,8/27/16,SEA PEARL,SEA PEARL,2/15/15
370190000,9008639,H8MF,16.6,120.7,0,1,4430,0,1,5134,encounters,Panama,12/24/16,SEA PEARL 1,SEA PEARL,8/27/16
529646000,9008639,C6PX9,16.6,120.7,0,1,4430,0,1,5134,encounters,Kiribati,2/15/15,SEA PEARL,,
273353640,8603171,UBZH8,17,116.57,0,1,4148,0,1,4939,FFA,Russia,12/8/16,EKATERINA,,
355802000,9015838,3EFN9,17,120.7,0,1,4446,0,1,5248,FFA,Panama,12/26/16,NEW TAKATSUKI,,
441822000,9105360,DSRG3,17,120.75,0,1,4457,0,1,5232,FFA,Korea,12/8/16,KATAH,,
529485000,9087908,T3CCR,17,120.75,0,1,4491,0,1,5103,FFA,Kiribati,7/23/15,SYOTA MARU,,
374030000,9087908,H9NZ,17,120.75,0,1,4491,0,1,5103,encounters,Panama,12/8/16,SYOTA MARU,SOYTA MARU,7/23/15
352769000,8203816,3FVB3,17,108,0,1,4677,0,1,5539,encounters,Panama,2/8/13,XUE LIN,,
354461000,8203816,3FVB3,17,108,0,1,4677,0,1,5539,encounters,Panama,12/26/16,XING YUN,XUE LIN,2/8/13
273348810,8609814,UBTE5,17,94.32,0,1,3401,0,1,3933,encounters,Russia,12/23/16,ICE STREAM,,
273378130,9000364,UBQM4,17,120,0,1,4488,0,1,5109,encounters,Russia,12/7/16,ANDROMEDA,NOVA BRETAGNE,10/11/13
308735000,9000364,C6JI7,17,120,0,1,4488,0,1,5109,encounters,Bahamas,9/12/13,NOVA BRETAGNE,,
229463000,9000364,9HA3352,17,120,0,1,4488,0,1,5109,encounters,Malta,10/11/13,NOVA BRETAGNE,NOVA BRETAGNE,9/12/13
273313270,8516627,UFEF,17,103,0,1,4298,0,1,3750,encounters,Russia,12/26/16,SIMFONIYA,,
273344710,8609802,UBSE4,17,90,0,1,3403,0,1,3939,encounters,Russia,12/7/16,ICE BREEZE,,
273311860,8516615,UFWZ,17,103,0,1,4295,0,1,3750,encounters,Russia,12/21/16,PROGRESS,,
374446000,9241932,3EHZ8,17,120.75,0,1,4521,0,1,5035,ITU,Panama,12/16/16,HARU,HARU,1/12/16
374115000,9009695,3FKX4,17,120.7,0,1,4444,0,1,5226,ITU,Panama,12/19/16,SEA GLORY II,SEA GLORY,9/20/15
529523000,9009695,T3DS2,17,120.7,0,1,4444,0,1,5226,encounters,Kiribati,9/20/15,SEA GLORY,LYRA,8/31/12
277254000,9009695,LYOY,17,120.7,0,1,4444,0,1,5226,encounters,Lithuania,8/31/12,LYRA,,
636016700,9004401,D5HI8,18,115,0,1,5136,0,1,6488,CLAV,Liberia,12/26/16,GREEN GLACIER,GREEN GLACIER,10/11/13
352515000,8324244,HOAL,18,138,0,1,6117,0,1,6413,CLAV,Panama,5/4/16,FRIO PACIFIC,,
355513000,9016076,3EAX9,18,110.22,0,1,5024,0,1,7000,CLAV,Panama,12/8/16,YUNG DA FA 108,,
529730000,8906808,3EPS9,18,106,0,1,5286,0,1,6455,CLAV,Kiribati,10/17/14,KRASKINO,,
440170000,8906808,D7BO,18,106,0,1,5286,0,1,6455,encounters,Korea,12/8/16,OCEAN CHO,KRASKINO,7/4/15
273179300,8906808,UHBQ,18,106,0,1,5286,0,1,6455,encounters,Panama,7/4/15,KRASKINO,KRASKINO,10/17/14
431263000,9746827,7JUZ,18,104.2,0,1,4865,0,1,4989,CLAV,Japan,12/26/16,GOUTA MARU,,
372199000,8609981,3FTJ4,18,117.31,0,1,4963,0,1,6530,CLAV,Panama,12/8/16,SEIN PRINCESS,GIRALDA CARRIER,5/25/13
372199000,8609981,C6RH4,18,117.31,0,1,4963,0,1,6530,encounters,Panama,5/25/15,GIRALDA CARRIER,,
249665000,9004401,9HCJ5,18,105,0,1,5136,0,1,6488,CLAV,Malta,10/11/13,GREEN GLACIER,,
312377000,8217104,V3LJ,18,117.28,0,1,5070,0,1,6465,CLAV,Belize,10/9/13,OCEAN MARINER,,
354716000,8710132,3EHA6,18,124.7,0,1,4936,0,1,6538,CLAV,Panama,12/24/16,HAI FENG 648,,
273351170,8320834,UBRI2,18,115.14,0,1,5292,0,1,6023,CLAV,Russia,12/26/16,ODIN,ISIDA,5/6/12
667006047,8320834,9LC2140,18,115.14,0,1,5292,0,1,6023,encounters,Sierra Leone,5/6/12,ISIDA,,
440214000,8807430,D7MY,18,119.15,0,1,4273,0,1,7101,FFA,Korea,12/8/16,SEIN QUEEN,WHITE DOLPHIN,10/9/13
351817000,8807430,3EVO6,18,119.15,0,1,4273,0,1,7101,encounters,Panama,10/9/13,WHITE DOLPHIN,,
529096000,7908976,T3LY,18,137,0,1,6049,0,1,6044,FFA,Kiribati,8/31/15,TAI FU NO.1,,
352247000,8904070,3EPS8,18,115,0,1,5286,0,1,6451,FFA,Panama,12/26/16,FONG KUO NO.818,,
370070000,8913992,3FCY3,18,115,0,1,5131,0,1,6523,FFA,Panama,12/8/16,FONG KUO NO.819,,
529758000,9677595,T3PM2,18,78.88,0,1,1995,0,1,2700,FFA,Kiribati,6/11/16,QIAO TAI,QIAO TAI,9/16/14
312413000,9677595,T3PM2,18,78.88,0,1,1995,0,1,2700,encounters,Belize,9/16/14,QIAO TAI,,
325700000,9677595,J7CX2,18,78.88,0,1,1995,0,1,2700,encounters,Dominica,12/13/16,HAI JI LI,HAI JI LI,7/14/16
351776000,8130837,3FIY4,18,145.55,0,1,6183,0,1,6404,encounters,Panama,12/7/15,MING HANG,,
273374170,9175274,UBJN2,18,134,0,1,6971,0,1,6709,encounters,Russia,12/29/16,FRIO VLADIVOSTOK,FRIO VLADIVOSTOK,3/27/15
273349530,8609163,UBFG2,18,124.68,0,1,4936,0,1,6544,encounters,Russia,12/28/16,PETR RIKORD,,
273833000,8623925,UIEI,18,126.6,0,1,6665,0,1,7468,encounters,Russia,12/28/16,DORIDA,,
273421240,8723402,UERJ,18,126.6,0,1,6689,0,1,6579,encounters,Russia,12/27/16,ANTON GURIN,,
341759000,9076258,V4RV2,18,133.95,0,1,6964,0,1,6715,encounters,Saint Kitts Nevis,12/26/16,FRIO PETROPAVLOVSK,FRIO ANTARCTIC,3/11/13
352864000,9076258,3FZS3,18,133.95,0,1,6964,0,1,6715,encounters,Panama,3/11/13,FRIO ANTARCTIC,,
273330280,9175286,UEEJ,18,133.81,0,1,6971,0,1,7836,encounters,Russia,12/23/16,POLTAVA,DESIGNER KNYSH,10/11/13
356986000,9175286,HPZK,18,133.81,0,1,6971,0,1,7836,encounters,Panama,10/11/13,DESIGNER KNYSH,,
351527000,8217104,H8IL,18,125,0,1,5070,0,1,6465,encounters,Panama,12/23/16,OCEAN MARINER,OCEAN MARINER,10/9/13
273358980,9081667,UBMJ3,18,133.95,0,1,6971,0,1,7836,encounters,Russia,12/28/16,CAPTAIN MOKEEV,CAPTAIN MOKEEV,2/17/15
354408000,9081667,3FAO8,18,133.95,0,1,6971,0,1,7836,encounters,Panama,2/17/15,CAPTAIN MOKEEV,,
273815020,8723373,UIUS,18,126.6,0,1,6665,0,1,7467,encounters,Russia,12/24/16,NEREY,,
308564000,9009669,PJNC,18,115,0,1,5225,0,1,6454,encounters,Bahamas,7/29/15,GREEN NOVA,,
273310720,9082180,UHOU,18,133.95,0,1,6971,0,1,7915,encounters,Russia,12/8/16,GENNADY VODOLAZSKIY,,
273354770,9081655,UBXI2,18,133.77,0,1,6971,0,1,6720,encounters,Russia,12/28/16,CANARIAN REEFER,CANARIAN REEFER,9/13/12
353585000,9081655,3FCC7,18,133.77,0,1,6971,0,1,6720,encounters,Panama,9/13/12,CANARIAN REEFER,,
431201000,8710728,7JTK,18,124.25,0,1,4969,0,1,6374,encounters,Japan,12/8/16,TAISEI MARU 15,TAISEI MARU 15,9/15/13
273319440,8512011,UGNI,18,115,0,1,5131,0,1,6499,encounters,Russia,12/7/16,GREEN TUNDRA,,
273359920,8826759,UBIH4,18,134,0,1,6989,0,1,5250,encounters,Russia,12/21/16,TAVRIA,,
273425770,8422931,UBFQ,18,126.6,0,1,6607,0,1,7469,encounters,Russia,12/28/16,KAPITAN SHCHERBAKOV,,
273354740,9081643,UBYH9,18,133.81,0,1,6964,0,1,6712,encounters,Russia,12/28/16,SARONIC BREEZE,,
273335960,9081631,UGKH,18,133.95,0,1,6964,0,1,7843,encounters,Russia,12/28/16,FRIO AGATES,,
273356290,8710352,UBOJ9,18,137.55,0,1,6154,0,1,7190,encounters,Russia,12/8/16,VITALIY SHMYKOV,,
357889000,8710352,HOZO,18,137.55,0,1,6154,0,1,7190,encounters,Panama,2/14/13,WASHINGTON,,
636013976,8813623,A8QO5,18,124.7,0,1,5476,0,1,6756,ITU,Liberia,8/10/13,DAMACO FRANCIA,,
413447320,9677595,T3PM2,18,79,0,1,1995,0,1,2700,ITU,China,7/14/16,HAI JI LI,QIAO TAI,6/11/16
374830000,8609979,3EFA6,18,124,0,1,4963,0,1,6553,ITU,Panama,12/18/16,SEIN GRACE,SEIN GRACE,3/26/16
357772000,8609979,3EUJ3,18,124,0,1,4963,0,1,6553,encounters,Panama,2/4/15,ALCANTARA CARRIER,,
311011400,8804543,C6XJ4,18,109,0,1,5084,0,1,6123,ITU,Bahamas,12/20/16,GREEN COOLER,,
311009500,8804555,C6XH3,18,109,0,1,5084,0,1,6129,ITU,Bahamas,12/28/16,GREEN BODO,,
374317000,7908976,3ECZ6,18,137,0,1,6049,0,1,6044,ITU,Panama,12/23/16,TAI FU NO.1,,
356728000,9035072,3ETB8,19,116.33,0,1,6082,0,1,7197,CLAV,Panama,12/16/16,DON REEFER,FRIO KYKNOS,10/11/13
636009737,9014793,ELPE2,19,126,0,1,6082,0,1,5078,CLAV,Liberia,9/16/16,FRIO IONIAN,,
373755000,9014793,3FUZ,19,126,0,1,6082,0,1,5078,encounters,Panama,12/28/16,FRIO IONIAN,FRIO IONIAN,9/16/16
636016998,9011038,D5IV3,19,119.55,0,1,5617,0,1,7072,CLAV,Liberia,12/28/16,GREEN CONCORDIA,GREEN CONCORDIA,5/13/15
258963000,9011038,D5IV4,19,119.55,0,1,5617,0,1,7072,encounters,Norway,5/13/15,GREEN CONCORDIA,GREEN CONCORDIA,9/9/13
311043900,9011038,C6YS7,19,119.55,0,1,5617,0,1,7072,encounters,Bahamas,9/9/13,GREEN CONCORDIA,,
229563000,9035072,3ETB8,19,116,0,1,6082,0,1,7197,CLAV,Malta,10/11/13,FRIO KYKNOS,CAPE BLOSSOM,1/16/13
636011904,9035072,A8CC2,19,116,0,1,6082,0,1,7197,encounters,Liberia,1/16/13,CAPE BLOSSOM,,
259723000,8911487,3EXR3,19,120.4,0,1,6420,0,1,6807,CLAV,Norway,1/5/12,SILVER STATT,,
373443000,8911487,3EXR3,19,112.39,0,1,6420,0,1,6807,CLAV,Panama,8/26/16,FRIO ATLANTIC,SILVER STATT,1/5/12
356616000,8904941,3EQZ7,19,146.02,0,1,6557,0,1,7129,CLAV,Panama,12/28/16,DHARA,SAMPAQUITA,7/16/15
356616000,8904941,3EQZ7,19,146.02,0,1,6557,0,1,7129,encounters,Panama,7/16/15,SAMPAQUITA,,
355720000,8813582,3EMW4,19,145,0,1,6545,0,1,7168,CLAV,Panama,12/22/16,GLOBAL MARINER,GLOBAL MARINER,9/29/13
636011004,9051789,ELWE4,19,126,0,1,6082,0,1,7179,CLAV,Liberia,6/1/16,CAPE BELLE,,
441723000,9051789,D7AX,19,126,0,1,6082,0,1,7179,encounters,Korea,12/28/16,SEIN FRONTIER,CAPE BELLE,6/1/16
224124000,9238703,EBTL,19,132.9,0,1,7207,0,1,7748,FFA,Spain,12/27/16,SALICA FRIGO,,
577315000,8609979,YJUM8,19,124,0,1,4963,0,1,6553,FFA,Vanuatu,3/26/16,SEIN GRACE,ALCANTARA CARRIER,2/4/15
636016916,9015785,D5IJ6,19,120,0,1,5617,0,1,7075,FFA,Liberia,12/8/16,GREEN TOLEDO,GREEN TOLEDO,3/13/15
667001392,8517346,9LU2195,19,145.55,0,1,6579,0,1,7690,encounters,Sierra Leone,12/27/16,OCEAN STAR 98,TAMA HOPE,6/11/15
